shock_id,baseline_year,countries_in_baseline_year,complete_final5_raw_countries,complete_final5_score_countries,mean_final5_raw_variables_available,mean_final5_score_variables_available
2007,2007,152,25,25,2.1973684210526314,2.1973684210526314
2019,2019,161,35,35,2.2857142857142856,2.2857142857142856
