shock_id,shock_label,baseline_year,countries,mean_final5_score_variables_available,min_final5_score_variables_available,max_final5_score_variables_available
2007,Global Financial Crisis,2007,25,5.0,5,5
2019,COVID shock,2019,35,5.0,5,5
