year,country,Global_Energy_Dependency_0_100,Worldwide_Governance_Indicators
2000,AGO,0.0,27.4712574
2000,ALB,46.5181540098418,47.6615336
2000,ARE,0.0,42.0815546
2000,ARG,0.0,64.5902122
2000,ARM,71.191142301674,46.7813404
2000,AUS,0.0,82.0517314
2000,AUT,66.9003178334892,81.175534
2000,AZE,0.0,35.6333768
2000,BEL,87.2199602723335,82.1186084
2000,BEN,28.0977102178966,60.1338912
2000,BGD,17.6509148650554,49.108751399999996
2000,BGR,46.8649530070362,62.642855499999996
2000,BHR,0.0,35.7871117
2000,BIH,29.0208771823771,54.3473671
2000,BLR,85.4915862800884,32.1353259
2000,BOL,0.0,60.5220037
2000,BRA,23.6412025308101,61.899754099999996
2000,BRN,0.0,41.0662072
2000,CAN,0.0,85.1962023
2000,CHE,56.6945528445147,84.1567697
2000,CHL,70.4940449473389,75.1836479
2000,CHN,2.45807505926914,28.9626585
2000,CMR,0.0,30.271270599999998
2000,COL,0.0,46.4837911
2000,CRI,61.4181343661949,75.8555597
2000,CYP,100.0,73.2251142
2000,CZE,22.7798633013614,69.4788009
2000,DEU,61.1039580456091,84.74835739999999
2000,DNK,0.0,86.0777677
2000,DZA,0.0,35.4940693
2000,ECU,0.0,50.7264207
2000,ESP,82.1407322953954,79.1183265
2000,EST,34.7493103186454,75.5104509
2000,FIN,57.1165938693955,86.3089265
2000,FRA,52.6597179220674,78.3023254
2000,GAB,0.0,40.3433491
2000,GBR,0.0,81.13789489999999
2000,GEO,54.3200319632421,46.6580319
2000,GHA,31.9734030100965,53.857680699999996
2000,GNQ,0.0,24.5182042
2000,GRC,80.223883880255,78.34142949999999
2000,GTM,26.8665325240579,46.4185191
2000,HND,50.2948690399446,48.590837
2000,HRV,48.8903905779736,61.254923899999994
2000,HUN,55.4770550958581,76.88376269999999
2000,IDN,0.0,44.5807857
2000,IND,21.8848024647478,61.448867199999995
2000,IRL,89.2588125565635,81.13736279999999
2000,IRQ,0.0,19.323708699999997
2000,ISL,20.4889143459192,82.6258673
2000,ISR,99.6368804731559,65.2663491
2000,ITA,88.8679040891303,73.2475103
2000,JAM,100.0,63.8799612
2000,JOR,97.9874139742194,48.1161082
2000,JPN,82.8158357838335,75.168167
2000,KAZ,0.0,34.6097158
2000,KEN,25.6695676324699,35.0758806
2000,KGZ,40.5560190764603,34.252476
2000,KWT,0.0,51.8812279
2000,LBY,0.0,24.327563599999998
2000,LKA,45.9375815653082,49.4748965
2000,LTU,59.1157356772793,70.5585802
2000,LUX,100.0,82.92753139999999
2000,LVA,61.533715183207,67.13825779999999
2000,MAR,90.1370991340535,44.5389425
2000,MDG,15.9066874027994,54.5243068
2000,MEX,0.0,59.7257822
2000,MKD,41.1601443241744,46.0054026
2000,MLT,100.0,75.5659443
2000,MMR,0.0,17.5915171
2000,MNG,20.2095609636536,60.7486452
2000,MOZ,0.0,50.8864197
2000,MYS,0.0,41.668466099999996
2000,NAM,68.6570224399135,59.7898378
2000,NGA,0.0,41.625737199999996
2000,NIC,46.0536194558223,52.182519199999994
2000,NLD,46.4820493884967,86.3911305
2000,NOR,0.0,85.6626541
2000,NPL,12.6530155401345,46.799872
2000,NZL,19.54795306562,83.7458463
2000,OMN,0.0,44.432212299999996
2000,PAK,27.075243964497,33.1161094
2000,PAN,100.0,65.0728101
2000,PER,24.960248447205,45.289806299999995
2000,PHL,51.7100934098601,57.8824866
2000,POL,10.7816243395491,78.08268319999999
2000,PRT,89.6907456772857,80.9542063
2000,PRY,0.0,45.797016199999995
2000,QAT,0.0,36.9485156
2000,ROU,21.6999585594501,59.4880511
2000,RUS,0.0,47.2453384
2000,RWA,6.86578715414879,26.7892659
2000,SAU,0.0,22.5311886
2000,SDN,0.0,22.2850003
2000,SEN,63.7566980737436,56.1142014
2000,SGP,100.0,60.7621343
2000,SLV,59.8729545913672,50.277875599999994
2000,SRB,13.906998567689,40.7355239
2000,SUR,0.0,63.869440499999996
2000,SVK,65.0047112666577,71.3721134
2000,SVN,51.7833418123658,75.6010053
2000,SWE,40.5018771943793,86.0697323
2000,SWZ,14.5786791837145,31.403382299999997
2000,SYR,0.0,26.6274974
2000,TCD,3.19434284320898,35.1584205
2000,THA,44.1327960543727,61.9080398
2000,TJK,41.3030670209098,29.5381771
2000,TKM,0.0,21.537022699999998
2000,TTO,0.0,63.4122895
2000,TUN,11.1338474060466,38.089250799999995
2000,TUR,66.4118980253342,47.643145499999996
2000,UGA,4.90635981001661,35.2202988
2000,UKR,43.0716323662971,43.558754099999994
2000,URY,74.3455134135059,72.9746973
2000,USA,26.6791454298185,79.24405209999999
2000,UZB,0.0,23.859139199999998
2000,VNM,0.0,34.5101143
2000,ZAF,0.0,65.8229563
2000,ZMB,6.76362733794516,44.4497918
2000,ZWE,20.977560686583,31.1596864
2002,AGO,0.0,32.6143813
2002,ALB,54.0254111851842,53.080731199999995
2002,ARE,0.0,41.6602171
2002,ARG,0.0,62.677685499999995
2002,ARM,62.9847896646093,49.2464575
