year,country,Public_Debt (%GDP),Energy_Import_Dependency,Tertiary_education_attainment,Inflation_Rate,Unemployment_Variation,Worldwide_Governance_Indicators,Productivity_Variation,GDP_Growth,missing_count
2000,MKD,,41.1601443241744,,,36.025,46.0054026,,,115
2000,MLT,,100.0,,,6.324,75.5659443,,,120
2000,MMR,,0.0,,,,17.5915171,,,132
2000,MNG,,20.2095609636536,,,,60.7486452,,,132
2000,MOZ,,0.0,,,,50.8864197,,,132
2000,MYS,,0.0,,,,41.668466099999996,,,132
2000,NAM,,68.6570224399135,,,,59.7898378,,,132
2000,NGA,,0.0,,,,41.625737199999996,,,132
2000,NIC,,46.0536194558223,,,,52.182519199999994,,,132
2000,NLD,50.366,46.4820493884967,23.375116,2.360522,3.047,86.3911305,50.48609569203542,4.227832184,0
2000,NOR,55.846,0.0,32.692787,3.085506,3.331,85.6626541,339.4301771330547,3.443430782,0
2000,NPL,,12.6530155401345,,,,46.799872,,,132
2000,NZL,25.729,19.54795306562,35.628941,2.615233,6.131,83.7458463,40.38892196552515,4.212489373,0
2000,OMN,,0.0,,,,44.432212299999996,,,132
2000,PAK,,27.075243964497,,,,33.1161094,,,132
2000,PAN,,100.0,,,,65.0728101,,,132
2000,PER,,24.960248447205,32.44971085,,5.19,45.289806299999995,,,96
2000,PHL,,51.7100934098601,,,,57.8824866,,,132
2000,POL,51.475,10.7816243395491,11.36204,10.09167,16.37,78.08268319999999,28.171458328610175,4.656227896,0
2000,PRT,80.161,89.6907456772857,8.8429394,2.85303,3.928,80.9542063,24.1552703738497,3.816177361,0
2000,PRY,,0.0,,,,45.797016199999995,,,138
2000,QAT,,0.0,,,,36.9485156,,,126
2000,ROU,16.691,21.6999585594501,17.160242,,7.157,59.4880511,13.235794434312957,,48
2000,RUS,,0.0,,20.79877,10.581,47.2453384,,7.175949193,66
2000,RWA,,6.86578715414879,,,,26.7892659,,,126
2000,SAU,,0.0,,-1.125,,22.5311886,,11.758820687,96
2000,SDN,,0.0,,,,22.2850003,,,132
2000,SEN,,63.7566980737436,,,,56.1142014,,,138
2000,SGP,,100.0,,,,60.7621343,,,138
2000,SLV,,59.8729545913672,,,,50.277875599999994,,,132
2000,SRB,,13.906998567689,,,,40.7355239,,,138
2000,SUR,,0.0,,,,63.869440499999996,,,138
2000,SVK,36.467,65.0047112666577,10.37334,12.03578,18.777,71.3721134,16.015310527456464,0.789224478,0
2000,SVN,30.907,51.7833418123658,15.726464,8.911745,6.729,75.6010053,23.077898421018975,3.49791671,0
2000,SWE,48.015,40.5018771943793,30.122953,0.8991438,5.799,86.0697323,252.9293994764047,4.63114518,0
2000,SWZ,,14.5786791837145,,,,31.403382299999997,,,132
2000,SYR,,0.0,,,,26.6274974,,,132
2000,TCD,,3.19434284320898,,,,35.1584205,,,114
2000,THA,,44.1327960543727,,,,61.9080398,,,138
2000,TJK,,41.3030670209098,,,,29.5381771,,,132
2000,TKM,,0.0,,,,21.537022699999998,,,132
2000,TTO,,0.0,,,,63.4122895,,,132
2000,TUN,,11.1338474060466,,,,38.089250799999995,,,132
2000,TUR,48.901,66.4118980253342,8.3461838,54.91538,6.495,47.643145499999996,25.984350976797295,6.985286864,0
2000,UGA,,4.90635981001661,,,,35.2202988,,,132
2000,UKR,,43.0716323662971,,,,43.558754099999994,,,138
2000,URY,,74.3455134135059,,,,72.9746973,,,132
2000,USA,64.674,26.6791454298185,36.494774,3.376857,3.992,79.24405209999999,49.7316671619496,4.07758576,0
2000,UZB,,0.0,,,,23.859139199999998,,,132
2000,VNM,,0.0,,,,34.5101143,,,132
2000,ZAF,38.354,0.0,6.860743,5.338953,25.3707343793721,65.8229563,,4.2,24
2000,ZMB,,6.76362733794516,,,,44.4497918,,,132
2000,ZWE,,20.977560686583,,,,31.1596864,,,132
2002,AGO,,0.0,,,,32.6143813,,,132
2002,ALB,,54.0254111851842,,,,53.080731199999995,,,138
2002,ARE,,0.0,,,,41.6602171,,,132
2002,ARG,,0.0,16.711861,34.27723,7.561,62.677685499999995,,-10.894484806,48
2002,ARM,,62.9847896646093,,,,49.2464575,,,132
