country,rows,total_numeric_cells,imputed_count,imputed_prop
ZAF,24,264,24,0.09090909090909091
NOR,24,264,24,0.09090909090909091
JPN,24,264,24,0.09090909090909091
ISR,24,264,24,0.09090909090909091
SWE,24,264,0,0.0
SVN,24,264,0,0.0
SVK,24,264,0,0.0
PRT,24,264,0,0.0
POL,24,264,0,0.0
AUT,24,264,0,0.0
TUR,24,264,0,0.0
NLD,24,264,0,0.0
MEX,24,264,0,0.0
LVA,24,264,0,0.0
LUX,24,264,0,0.0
LTU,24,264,0,0.0
USA,24,264,0,0.0
ITA,24,264,0,0.0
NZL,24,264,0,0.0
AUS,24,264,0,0.0
IRL,24,264,0,0.0
HUN,24,264,0,0.0
BEL,24,264,0,0.0
CAN,24,264,0,0.0
CHE,24,264,0,0.0
CHL,24,264,0,0.0
COL,24,264,0,0.0
CRI,24,264,0,0.0
CZE,24,264,0,0.0
DEU,24,264,0,0.0
DNK,24,264,0,0.0
ESP,24,264,0,0.0
EST,24,264,0,0.0
FIN,24,264,0,0.0
FRA,24,264,0,0.0
GBR,24,264,0,0.0
GRC,24,264,0,0.0
ISL,24,264,0,0.0
