year,country,Public_Debt_pct_GDP,Energy_Import_Dependency,GDP_Growth,Inflation_Rate,Productivity_Variation,R&D_Expenditure_pct_GDP,Tertiary_Education_Attainment,Unemployment_Rate,Gov_Score,recovery_2007,recovery_2019
2000,FIN,45.1,57.1166,5.7536,3.0421,45.8138,3.2427,32.6144,9.732,86.3089,8,2
2002,FIN,42.6,53.7324,1.6873,1.5712,47.8101,3.2541,32.9898,8.98,87.2647,8,2
2003,FIN,45.2,60.628,2.0118,0.8774,48.8322,3.299,33.1776,8.966,86.7084,8,2
2004,FIN,44.9,56.0538,4.0053,0.1871,50.8855,3.3094,34.1846,8.785,86.9487,8,2
2005,FIN,42.1,55.8524,2.7778,0.6239,51.9739,3.3241,34.6294,8.371,86.5615,8,2
2006,FIN,40.2,55.4623,4.0195,1.5667,53.7362,3.3328,35.1417,7.638,86.8399,8,2
2007,FIN,36.0,54.6637,5.3132,2.5107,56.3731,3.3373,36.3571,6.827,86.348,8,2
2008,FIN,34.7,55.932,0.784,4.066,56.7389,3.5372,36.5836,6.344,86.4439,8,2
2009,FIN,44.1,55.4426,-8.0759,0.0,54.8354,3.7343,37.2686,8.222,86.1464,8,2
2010,FIN,50.1,49.3261,3.1677,1.1841,56.8513,3.7052,38.1463,8.395,85.9659,8,2
2011,FIN,52.0,54.5357,2.3894,3.4168,58.3271,3.6243,39.3182,7.732,86.492,8,2
2012,FIN,57.9,47.4849,-1.5233,2.8083,58.0965,3.4095,39.6613,7.61,88.6959,8,2
2013,FIN,60.8,50.0732,-0.9797,1.4783,59.0097,3.2846,40.5452,8.12,87.6527,8,2
2014,FIN,64.8,50.2608,-0.4781,1.0412,59.5901,3.1634,41.7767,8.531,87.455,8,2
2015,FIN,68.8,48.5425,0.4665,-0.2079,60.1819,2.8883,42.7426,9.265,88.9117,8,2
2016,FIN,68.6,46.6828,2.5719,0.3567,61.8989,2.7472,43.5953,8.76,88.5676,8,2
2017,FIN,66.6,45.2672,3.3034,0.754,64.3747,2.7472,44.3043,8.587,88.2802,8,2
2018,FIN,65.4,46.7658,1.193,1.0838,64.3659,2.776,45.1881,7.312,89.3361,8,2
2019,FIN,65.3,44.4037,1.3497,1.0241,65.7282,2.8153,45.9344,6.65,88.9448,8,2
2020,FIN,75.3,43.8669,-2.491,0.2906,64.5741,2.9328,47.8742,7.702,90.3688,8,2
2021,FIN,73.1,38.6876,2.6763,2.1946,68.4788,3.0113,42.3311,7.607,90.349,8,2
2022,FIN,74.0,42.3819,0.763,7.1235,69.6588,2.982,42.637,6.719,90.2349,8,2
2023,FIN,77.0,30.2719,-1.2893,6.2506,70.0244,3.0913,42.5365,7.147,89.1357,8,2
2024,FIN,82.4,30.2719,0.3746,1.5657,75.7357,3.222,42.7157,8.325,89.2911,8,2
2000,FRA,59.7,52.6597,4.1411,1.676,49.2852,2.1007,21.5848,8.557,78.3023,14,2
2002,FRA,61.3,51.9902,1.0677,1.9234,52.7099,2.1876,23.9801,7.919,78.4911,14,2
2003,FRA,65.4,51.9019,0.9678,2.0985,53.0983,2.1309,23.9174,8.527,78.4371,14,2
2004,FRA,66.9,52.2402,2.8683,2.1421,53.9801,2.1044,24.3837,8.867,79.1034,14,2
2005,FRA,68.2,53.0679,1.8886,1.7459,55.2511,2.056,25.4258,8.867,83.1882,14,2
2006,FRA,65.4,52.9914,2.7141,1.6751,57.4809,2.0533,26.1834,8.816,80.6061,14,2
2007,FRA,65.5,51.9703,2.5304,1.488,57.9248,2.0282,26.6461,7.994,81.5281,14,2
2008,FRA,69.8,52.3005,0.3802,2.8129,58.2722,2.0636,27.2339,7.419,81.3966,14,2
2009,FRA,84.1,52.4462,-2.8246,0.0876,58.0379,2.2127,28.5881,9.105,81.2145,14,2
2010,FRA,86.3,50.371,2.0003,1.5311,59.2488,2.1777,29.0069,9.25,80.1958,14,2
2011,FRA,88.7,50.7669,2.4376,2.1116,60.4634,2.1876,29.767,9.198,78.2503,14,2
2012,FRA,91.7,49.9192,0.1838,1.9542,60.8299,2.2276,30.8561,9.77,79.8369,14,2
2013,FRA,94.6,49.7187,0.7818,0.8637,62.6192,2.2337,32.1053,10.295,78.3724,14,2
2014,FRA,96.2,47.8596,0.9978,0.5078,63.5122,2.2717,33.539,10.28,78.0391,14,2
2015,FRA,97.0,47.584,1.0668,0.0375,64.3374,2.224,34.0854,10.351,78.3724,14,2
2016,FRA,98.1,49.1471,0.86,0.1833,65.0499,2.2247,34.5825,10.052,77.5657,14,2
2017,FRA,98.8,50.6501,2.0836,1.0323,66.7148,2.2042,35.2138,9.401,77.2018,14,2
2018,FRA,98.5,48.7406,1.6459,1.8508,67.4825,2.2041,36.8975,9.056,77.0231,14,2
2019,FRA,98.2,49.7065,2.0274,1.1083,69.5526,2.1967,37.9047,8.443,76.5451,14,2
2020,FRA,114.9,45.791,-7.4406,0.4765,66.7787,2.2742,39.7173,8.009,77.5439,14,2
2021,FRA,112.8,45.5715,6.8823,1.6423,70.2116,2.2128,40.7031,7.86,77.2413,14,2
2022,FRA,111.4,54.3202,2.7168,5.2224,70.5021,2.2206,41.6432,7.308,77.4969,14,2
2023,FRA,109.5,47.1279,1.4392,4.8784,71.9421,2.1752,42.4315,7.335,77.4024,14,2
2024,FRA,112.6,47.1279,1.1905,1.999,73.206,2.1782,43.3574,7.388,76.9538,14,2
2000,GBR,87.2844,0.0,4.5244,1.2,41.3474,1.6038,25.6831,5.383,81.1379,7,2
2002,GBR,86.1686,0.0,1.709,1.5,43.6819,1.6095,26.8405,5.018,82.5242,7,2
2003,GBR,86.4073,0.0,3.2185,1.4,45.2101,1.5761,27.9982,4.802,82.5184,7,2
2004,GBR,90.2046,4.7746,2.326,1.4,46.4209,1.5257,29.3385,4.771,82.0252,7,2
2005,GBR,91.864,14.1924,2.7907,2.1,46.812,1.5451,29.709,4.902,82.1612,7,2
2006,GBR,91.7881,22.497,2.1898,2.5,48.7297,1.5698,34.1918,5.353,82.3416,7,2
2007,GBR,93.3736,21.8227,2.9309,2.4,49.6057,1.6109,35.536,5.159,81.5867,7,2
2008,GBR,104.8402,28.1654,-0.0494,3.5,49.933,1.6004,35.2162,5.676,81.2265,7,2
2009,GBR,122.8874,28.8663,-4.5874,2.0,49.3252,1.6586,36.985,7.638,81.4343,7,2
2010,GBR,130.4973,30.8469,2.2605,2.5,50.8584,1.6315,38.1872,7.632,80.8642,7,2
2011,GBR,143.126,39.4734,0.8514,3.8,51.8361,1.6396,39.4124,8.006,81.8015,7,2
2012,GBR,146.3713,46.0056,1.5283,2.6,51.9334,1.5686,40.9778,7.87,81.6321,7,2
2013,GBR,141.0332,50.6083,1.7185,2.3,52.1556,1.614,41.892,7.508,81.5231,7,2
2014,GBR,149.5843,49.7432,3.1602,1.5,52.9341,2.2497,42.2174,6.235,81.011,7,2
2015,GBR,147.0631,40.2776,2.1404,0.4,53.703,2.262,44.198,5.252,82.4516,7,2
2016,GBR,155.5815,37.9543,2.2065,1.0,53.6148,2.3053,45.7668,4.852,82.5482,7,2
2017,GBR,160.1412,38.0305,3.0232,2.6,55.6612,2.3097,45.7443,4.375,81.7676,7,2
2018,GBR,156.7668,38.1672,1.5513,2.3,56.2634,2.6849,45.7817,4.152,80.9247,7,2
2019,GBR,158.9726,36.5356,1.2563,1.7,57.6799,2.6481,47.5981,3.87,79.7383,7,2
2020,GBR,194.6828,28.4994,-10.0479,1.0,60.929,2.9106,49.8136,4.609,79.9058,7,2
2021,GBR,183.8048,38.9216,8.5431,2.5,59.2549,2.8532,50.486,4.42,79.4801,7,2
2022,GBR,138.2159,39.1791,5.1497,7.9,63.0051,2.782,51.5409,3.541,79.9192,7,2
2023,GBR,136.1424,44.0436,0.2717,6.8,63.7094,2.7534,53.0766,3.669,78.7618,7,2
2024,GBR,131.0731,44.0436,1.0396,3.3,70.6333,2.7534,53.843,3.759,79.6132,7,2
2000,GRC,108.9,80.2239,4.1378,3.1512,24.3712,0.5775,17.6723,11.35,78.3414,14,2
2002,GRC,107.9,81.0855,4.6831,3.6294,26.9352,0.5696,18.7934,10.353,76.6197,14,2
2003,GRC,104.3,76.4058,5.7968,3.5307,28.383,0.5616,19.2999,9.792,77.518,14,2
2004,GRC,105.5,82.0243,5.3779,2.8988,29.5499,0.5407,21.2867,10.59,76.915,14,2
2005,GRC,109.9,76.3429,1.1835,3.5451,28.9475,0.5922,21.4721,9.994,77.0494,14,2
2006,GRC,105.3,80.8432,6.4434,3.1959,31.0049,0.5705,22.4288,9.008,77.696,14,2
2007,GRC,104.6,80.6026,3.5069,2.895,32.0494,0.5851,22.8932,8.396,78.2776,14,2
2008,GRC,110.9,82.6111,0.0575,4.1528,32.4365,0.6709,23.5356,7.76,76.0837,14,2
2009,GRC,128.5,75.2206,-4.1193,1.2101,32.0638,0.6341,23.6567,9.616,76.9489,14,2
2010,GRC,147.8,76.9932,-5.6937,4.713,31.7038,0.6049,24.7448,12.713,74.5183,14,2
2011,GRC,175.1,73.105,-9.8768,3.3299,29.7906,0.6837,26.1121,17.865,73.2601,14,2
2012,GRC,164.1,73.0863,-8.3311,1.5015,28.144,0.7195,26.7193,24.439,69.2308,14,2
2013,GRC,180.4,69.139,-2.2721,-0.9213,27.9574,0.8229,27.4232,27.466,68.6771,14,2
2014,GRC,182.7,72.9934,0.7922,-1.3122,27.8801,0.8455,28.1057,26.491,68.9195,14,2
2015,GRC,179.6,79.0744,-0.2283,-1.7359,28.8792,0.9716,29.0575,24.897,68.5276,14,2
2016,GRC,183.1,81.383,-0.0318,-0.8257,28.0285,1.0056,30.2316,23.539,68.7174,14,2
2017,GRC,182.1,81.8523,1.4731,1.1213,28.7595,1.1492,31.0275,21.488,68.4515,14,2
2018,GRC,189.0,82.0229,2.0647,0.6256,27.9886,1.2066,31.7399,19.292,69.0929,14,2
2019,GRC,183.2,87.499,2.2772,0.253,29.0794,1.2624,31.8905,17.313,69.7012,14,2
2020,GRC,209.4,91.2123,-9.1962,-1.248,27.0234,1.4887,32.744,16.305,71.8205,14,2
2021,GRC,197.3,84.5571,8.6545,1.2238,29.4991,1.4335,34.5562,14.714,70.8235,14,2
2022,GRC,177.8,92.9081,5.522,9.6453,31.181,1.4832,35.1041,12.438,70.7123,14,2
2023,GRC,164.3,89.2461,2.1359,3.4648,31.9884,1.4977,34.3285,11.066,71.378,14,2
2024,GRC,154.2,89.2461,2.0866,2.7415,36.9863,1.5441,35.2921,10.089,70.5336,14,2
2000,HUN,55.6,55.4771,4.4094,9.8036,1426.7678,0.79,14.0419,6.401,76.8838,1,2
2002,HUN,55.6,57.3271,4.7301,5.2654,1687.2333,0.9831,14.2117,5.811,75.3859,1,2
2003,HUN,58.2,62.5385,3.9388,4.661,1784.1213,0.9199,15.416,5.868,76.2019,1,2
2004,HUN,58.9,61.5801,4.9631,6.7443,1930.3429,0.8608,16.7487,6.089,74.5321,1,2
2005,HUN,60.6,62.8758,4.3003,3.5615,2073.44,0.9204,17.0839,7.228,76.9194,1,2
2006,HUN,64.5,62.3592,3.9339,3.9303,2175.4639,0.9783,17.699,7.499,75.8174,1,2
2007,HUN,65.6,60.7502,0.3324,7.9587,2268.6898,0.9549,18.0488,7.406,75.3629,1,2
2008,HUN,71.8,63.2313,0.9934,6.0425,2387.3251,0.9782,19.1979,7.818,73.8407,1,2
2009,HUN,78.2,58.1697,-6.7402,4.2117,2353.1022,1.1303,19.8622,9.681,73.8942,1,2
2010,HUN,80.2,57.0135,1.068,4.8556,2416.1552,1.131,20.1219,10.801,73.4563,1,2
2011,HUN,80.5,50.4162,1.9167,3.9299,2502.5452,1.1812,21.124,10.655,72.3519,1,2
2012,HUN,78.4,50.1849,-1.3395,5.6521,2478.9608,1.2576,22.0467,10.668,69.5198,1,2
2013,HUN,77.2,50.0908,2.0322,1.7332,2527.984,1.3845,22.5058,9.849,68.613,1,2
2014,HUN,76.5,59.7317,4.3344,-0.2276,2553.3054,1.3437,23.3561,7.51,65.8318,1,2
2015,HUN,75.7,53.8369,3.6598,-0.0616,2624.4817,1.3388,24.2426,6.627,64.8981,1,2
2016,HUN,74.6,55.8033,2.4386,0.3948,2598.27,1.1765,23.7133,4.972,63.3774,1,2
2017,HUN,72.0,62.7321,4.1242,2.3482,2716.586,1.315,24.054,4.042,62.6935,1,2
2018,HUN,68.8,58.3634,5.6061,2.8502,2904.2618,1.502,25.1012,3.667,59.226,1,2
2019,HUN,65.0,69.8127,5.0772,3.3386,3107.4097,1.4647,25.9815,3.411,59.2025,1,2
2020,HUN,78.7,56.4069,-4.3387,3.3267,3239.0032,1.5807,27.2032,4.248,59.7687,1,2
2021,HUN,76.2,53.9649,7.2229,5.111,3454.1906,1.6333,29.2954,4.028,58.2541,1,2
2022,HUN,74.1,64.4447,4.1524,14.6081,3785.6309,1.3948,29.4061,3.593,57.632,1,2
2023,HUN,73.3,62.5098,-0.8171,17.125,4103.5235,1.3825,29.8177,4.108,56.0301,1,2
2024,HUN,73.5,62.5098,0.7091,3.7037,4285.6142,1.3129,31.1009,4.48,56.3639,1,2
2000,IRL,36.4,89.2588,9.4035,5.5776,42.5641,1.0838,21.613,4.885,81.1374,7,1
2002,IRL,30.9,94.3753,5.8994,4.6282,48.2591,1.0558,24.8143,4.759,80.7612,7,1
2003,IRL,29.8,95.119,3.0138,3.4922,50.2036,1.1244,26.3083,4.907,81.9056,7,1
2004,IRL,28.0,95.6973,6.7881,2.1785,52.5791,1.1778,27.8201,4.802,80.3431,7,1
2005,IRL,26.1,94.9645,5.7398,2.4565,53.5311,1.192,29.0742,5.008,84.9428,7,1
2006,IRL,23.7,96.3991,4.9879,3.9358,55.6156,1.1989,31.0956,4.892,83.6649,7,1
2007,IRL,23.9,94.2119,5.3101,4.8857,57.5667,1.2341,32.3901,4.797,84.023,7,1
2008,IRL,42.5,96.5195,-4.4841,4.0357,56.6868,1.3913,33.9026,6.602,84.3089,7,1
2009,IRL,61.8,92.7391,-5.0958,-4.4475,59.9175,1.6137,35.8223,12.558,82.2234,7,1
2010,IRL,86.2,92.1238,1.683,-0.9184,63.7214,1.5961,37.5841,14.449,80.9135,7,1
2011,IRL,109.6,95.5244,1.6089,2.549,66.8198,1.5399,38.1623,15.335,80.6915,7,1
2012,IRL,118.9,89.7223,-0.405,1.6947,67.9408,1.5479,39.6979,15.419,80.7225,7,1
2013,IRL,117.7,94.5991,2.1929,0.5151,67.3715,1.538,41.4707,13.711,80.5464,7,1
2014,IRL,101.4,91.2792,9.3858,0.1909,71.2536,1.4792,40.967,11.833,80.6613,7,1
2015,IRL,74.0,95.2316,24.624,-0.331,90.0361,1.1417,42.8061,9.869,81.2097,7,1
2016,IRL,72.7,74.2255,1.2227,0.0201,87.1046,1.1507,45.1043,8.288,80.943,7,1
2017,IRL,65.2,71.4047,10.1089,0.3622,92.4555,1.2088,45.659,6.582,81.3302,7,1
2018,IRL,61.3,73.3282,7.6887,0.4711,96.4093,1.0816,46.9351,5.433,81.9187,7,1
2019,IRL,55.8,75.4138,4.9729,0.9378,99.6228,1.1371,47.3068,4.392,82.1491,7,1
2020,IRL,56.9,74.191,7.1537,-0.3262,112.4272,1.1261,49.944,4.829,83.1222,7,1
2021,IRL,52.4,80.6438,16.2582,2.3403,128.6897,1.075,53.7087,5.365,84.4813,7,1
2022,IRL,43.0,85.9815,7.5111,7.8295,133.3119,1.5328,53.4526,3.345,84.8842,7,1
2023,IRL,41.8,85.7663,-2.5364,6.2994,127.3984,1.5436,54.544,3.185,85.3237,7,1
2024,IRL,38.3,85.7663,2.5995,2.1134,131.4925,1.378,57.5495,3.113,85.5125,7,1
2000,ISL,57.5282,20.4889,4.9052,5.1365,2475.9916,2.5398,27.8619,2.31,82.6259,15,2
2002,ISL,55.7146,20.4889,0.5423,5.197,2728.798,2.7919,27.8619,3.251,83.8666,15,2
2003,ISL,53.8074,20.4889,2.2814,2.0557,2824.7996,2.6738,27.8619,3.522,84.3183,15,2
2004,ISL,47.8004,20.4889,7.6226,3.1582,3040.6597,2.6538,27.9436,3.401,83.1775,15,2
2005,ISL,83.2678,20.4889,7.0293,3.987,3169.2034,2.6338,29.4714,2.866,84.4697,15,2
2006,ISL,85.9663,20.4889,5.6716,6.6871,3335.8086,2.8193,30.4118,3.219,85.2526,15,2
2007,ISL,83.0821,20.4889,8.7413,5.0516,3591.7295,2.4975,30.8048,2.482,85.6646,15,2
2008,ISL,128.5063,20.4889,1.6996,12.6944,3630.3129,2.4407,31.5919,3.329,85.6308,15,2
2009,ISL,145.1048,20.4889,-8.3215,12.0031,4012.8492,2.5857,32.9072,8.015,84.6745,15,2
2010,ISL,148.7778,20.4889,-2.2218,5.3967,4086.9492,2.4812,31.2987,8.307,83.9651,15,2
2011,ISL,155.1588,20.4889,1.38,4.001,4141.6456,2.3767,32.6169,7.688,83.0701,15,2
2012,ISL,150.7746,20.4889,1.1693,5.1859,4211.851,2.0284,33.8887,6.626,83.2688,15,2
2013,ISL,139.9197,20.4889,3.597,3.8723,4329.5019,1.68,34.2772,5.841,83.8659,15,2
2014,ISL,134.4085,20.4889,1.9138,2.0446,4412.5275,1.9164,35.6086,5.404,82.9094,15,2
2015,ISL,116.1555,20.4889,3.7686,1.6331,4609.5648,2.1588,36.9772,4.501,83.4046,15,2
2016,ISL,101.938,20.4889,6.2181,1.6969,4718.0241,2.081,38.1008,3.345,83.65,15,2
2017,ISL,89.247,20.4889,3.4851,1.7604,4776.4918,2.0561,39.0435,3.284,83.1207,15,2
2018,ISL,80.6816,20.4889,4.6608,2.6829,4965.5236,1.9695,40.2798,3.105,83.0383,15,2
2019,ISL,89.0165,20.4889,1.1382,3.014,5220.1318,2.3117,40.9489,3.923,83.007,15,2
2020,ISL,98.4737,20.4889,-6.6459,2.8479,7005.6744,2.4407,40.6439,6.424,82.2884,15,2
2021,ISL,94.3257,20.4889,5.1806,4.4442,5650.8557,2.7325,43.0626,5.988,82.3109,15,2
2022,ISL,85.1197,20.4889,8.8573,8.3088,6014.884,2.5581,43.5622,3.732,81.9022,15,2
2023,ISL,80.1552,20.4889,5.0323,8.7363,6285.4982,2.6192,44.4617,3.363,81.5218,15,2
2024,ISL,80.1552,20.4889,-1.2829,5.8568,6419.1649,2.4701,44.4617,3.558,81.7864,15,2
2000,ISR,60.3099,99.6369,8.6889,1.0326,76.3506,3.816,42.0904,11.042,65.2663,14,2
2002,ISR,60.3099,100.0,-0.1052,5.8023,79.387,3.9957,42.0904,12.785,65.9259,14,2
2003,ISR,60.3099,100.0,1.3177,0.7076,79.8957,3.7652,42.8949,13.386,66.9395,14,2
2004,ISR,60.3099,98.4168,4.6901,-0.4216,83.0865,3.7503,42.9714,12.913,66.6389,14,2
2005,ISR,60.3099,96.6341,4.6424,1.3407,84.2187,3.9158,43.0478,11.262,66.9237,14,2
2006,ISR,60.3099,92.4932,5.3922,2.0541,87.0374,4.0191,43.3174,10.649,70.4783,14,2
2007,ISR,60.3099,94.052,6.3266,0.4662,88.5239,4.2907,43.5871,9.343,69.3395,14,2
2008,ISR,60.3099,85.2741,3.3574,4.5274,88.3871,4.247,43.9805,7.687,68.928,14,2
2009,ISR,60.3099,90.1622,1.0977,3.3676,89.4083,4.0235,44.8809,9.485,68.6819,14,2
2010,ISR,60.3099,88.2876,5.5125,2.7027,92.2998,3.847,45.5601,8.459,67.5895,14,2
2011,ISR,60.3099,80.9527,5.666,3.4884,95.3181,3.9213,46.3969,7.133,66.2923,14,2
2012,ISR,60.3099,95.5693,2.3966,1.6755,96.3162,4.0667,46.4417,6.857,65.5251,14,2
2013,ISR,60.3099,84.4586,4.1269,1.5898,99.0492,4.1261,47.421,6.208,65.282,14,2
2014,ISR,60.3099,76.5748,3.9965,0.4676,100.5455,4.2245,48.5327,5.89,65.2042,14,2
2015,ISR,60.3099,76.7988,1.965,-0.6173,101.7295,4.3317,48.8245,5.251,65.3114,14,2
2016,ISR,60.3099,68.5749,4.1823,-0.5352,103.0094,4.6087,49.8953,4.798,65.7877,14,2
2017,ISR,60.3099,74.1221,4.4173,0.2498,105.0992,5.0918,50.916,4.215,65.7818,14,2
2018,ISR,60.3099,68.0044,4.2123,0.8051,108.0031,5.4386,50.2016,3.998,66.4721,14,2
2019,ISR,60.3099,70.7344,3.5077,0.8176,112.2666,5.7912,50.2463,3.803,65.7521,14,2
2020,ISR,60.3099,43.3403,-1.6042,-0.5753,120.9376,6.3459,50.1207,4.326,66.6348,14,2
2021,ISR,60.3099,28.7293,9.3353,1.4797,125.3806,6.3109,49.6886,4.956,66.0798,14,2
2022,ISR,60.3099,26.0916,6.2079,4.4116,128.4366,6.6904,50.6196,3.756,65.8259,14,2
2023,ISR,60.3099,13.7342,1.9293,4.2252,130.1451,6.9589,50.3395,3.423,64.2039,14,2
2024,ISR,60.3099,13.7342,0.6302,3.0748,134.4313,6.7612,50.5392,2.971,62.0152,14,2
2000,ITA,108.7,88.8679,3.8821,2.5377,44.1436,1.001,9.377,10.518,73.2475,3,2
2002,ITA,105.9,87.9149,0.2699,2.4653,45.028,1.077,10.368,8.985,73.7092,3,2
2003,ITA,105.1,85.3649,0.0666,2.6726,45.1861,1.0554,10.4601,8.651,73.2773,3,2
2004,ITA,104.7,86.7924,1.474,2.2067,45.8748,1.0466,11.5932,7.998,73.5031,3,2
2005,ITA,106.2,85.7236,0.7624,1.9853,46.4307,1.0406,12.2245,7.73,74.4874,3,2
2006,ITA,106.3,88.4757,1.7995,2.0908,47.1352,1.079,12.8724,6.777,77.6846,3,2
2007,ITA,103.5,85.6775,1.4623,1.8297,47.7597,1.1242,13.5781,6.075,78.2185,3,2
2008,ITA,105.8,85.4913,-1.0231,3.3478,48.3065,1.1555,14.357,6.723,77.0466,3,2
2009,ITA,116.1,83.303,-5.3052,0.7748,47.9517,1.2126,14.5108,7.749,76.7924,3,2
2010,ITA,118.8,85.4619,1.5292,1.5255,49.046,1.213,14.8026,8.363,74.8425,3,2
2011,ITA,119.1,84.1225,0.6955,2.7806,50.0027,1.1953,14.9354,8.359,71.6504,3,2
2012,ITA,125.9,81.839,-3.1252,3.0414,50.2255,1.2556,15.7083,10.655,72.3763,3,2
2013,ITA,131.9,79.2945,-1.8181,1.22,51.067,1.2942,16.2897,12.149,72.7085,3,2
2014,ITA,134.8,78.3882,-0.0014,0.2411,51.2895,1.3315,16.9106,12.683,73.9187,3,2
2015,ITA,134.8,79.588,0.8857,0.0388,51.538,1.3321,17.5465,11.896,74.721,3,2
2016,ITA,134.2,80.4851,1.2362,-0.0941,52.3619,1.3592,17.7236,11.688,74.9664,3,2
2017,ITA,133.7,81.178,1.6038,1.2265,53.033,1.3639,18.6697,11.211,74.1498,3,2
2018,ITA,134.2,80.9707,0.8266,1.1375,53.4119,1.4193,19.3688,10.538,72.736,3,2
2019,ITA,133.9,82.228,0.4291,0.6112,54.7075,1.4556,19.6955,9.884,72.4991,3,2
2020,ITA,154.4,76.8695,-8.8682,-0.1377,57.3437,1.4987,19.9874,9.192,74.6993,3,2
2021,ITA,145.8,76.633,8.931,1.8738,57.2213,1.4106,19.9831,9.497,74.7078,3,2
2022,ITA,138.4,83.629,4.8211,8.2013,59.2431,1.3656,20.3221,8.069,75.0405,3,2
2023,ITA,133.9,79.5981,0.9228,5.6222,59.276,1.372,21.5825,7.627,75.8669,3,2
2024,ITA,134.7,79.5981,0.783,0.9824,59.5483,1.3812,22.315,6.499,75.5305,3,2
2000,JPN,60.3099,82.8158,2.9783,-0.7,2167.0168,2.8584,33.6155,4.774,75.1682,3,2
2002,JPN,60.3099,82.9889,0.085,-0.9,2210.2474,2.9651,36.5755,5.38,75.2402,3,2
2003,JPN,60.3099,85.4789,1.3801,-0.3,2223.4521,2.9932,37.4221,5.224,75.8499,3,2
2004,JPN,60.3099,83.7746,2.1129,0.0,2264.1296,2.9812,38.6934,4.683,74.3857,3,2
2005,JPN,60.3099,83.4649,1.8483,-0.3,2283.3412,3.1309,39.939,4.407,75.4074,3,2
2006,JPN,60.3099,82.3652,1.5463,0.3,2277.4407,3.2277,40.4643,4.101,75.894,3,2
2007,JPN,60.3099,84.3108,1.7283,0.0,2286.4965,3.2926,41.0249,3.882,77.0953,3,2
2008,JPN,60.3099,84.2148,-1.1666,1.4,2269.7237,3.2922,42.8423,3.985,76.5678,3,2
2009,JPN,60.3099,80.6163,-5.9359,-1.4,2231.2398,3.1959,43.764,5.035,78.7386,3,2
2010,JPN,60.3099,81.7425,4.1365,-0.7,2279.0191,3.105,44.81,5.024,78.8802,3,2
2011,JPN,60.3099,90.8196,-0.2004,-0.3,2275.4345,3.2054,46.3641,4.521,79.6123,3,2
2012,JPN,60.3099,96.1222,1.6489,0.0,2292.1472,3.1737,46.6194,4.348,79.5104,3,2
2013,JPN,60.3099,95.673,1.9973,0.4,2339.6458,3.279,47.312,4.058,78.2998,3,2
2014,JPN,60.3099,95.5684,0.9059,2.7,2362.8032,3.3679,48.1851,3.612,78.4536,3,2
2015,JPN,60.3099,94.8396,1.8,0.8,2435.2108,3.2407,49.5416,3.349,77.44,3,2
2016,JPN,60.3099,93.8133,0.705,-0.1,2442.4992,3.1067,50.497,3.128,77.2545,3,2
2017,JPN,60.3099,93.0887,1.6235,0.4842,2463.9573,3.1664,51.4405,2.813,77.8116,3,2
2018,JPN,60.3099,91.4437,0.8341,0.9891,2479.1701,3.2192,51.9281,2.445,76.4575,3,2
2019,JPN,60.3099,90.559,-0.3085,0.4688,2508.8552,3.2182,52.678,2.354,75.709,3,2
2020,JPN,60.3099,89.5796,-4.2833,-0.025,3316.3727,3.2656,54.0273,2.781,75.7749,3,2
2021,JPN,60.3099,88.6817,3.5642,-0.025,2550.3748,3.2738,55.5556,2.828,76.0166,3,2
2022,JPN,60.3099,89.9708,1.3317,-0.025,2576.6001,3.4005,56.1251,2.579,76.0967,3,2
2023,JPN,60.3099,87.2799,0.7208,-0.025,2651.9782,3.4412,55.9862,2.599,76.6084,3,2
2024,JPN,60.3099,87.2799,-0.1684,-0.025,2651.9782,3.6232,57.0161,2.515,76.3842,3,2
2000,LTU,23.5,59.1157,3.4186,0.9816,12.7919,0.5842,41.8014,16.404,70.5586,8,2
2002,LTU,22.1,41.6814,6.7198,0.2815,15.1958,0.6565,35.7,13.737,68.0745,8,2
2003,LTU,20.4,43.708,10.5519,-1.1343,16.7044,0.6632,32.6493,12.441,70.0827,8,2
2004,LTU,18.6,46.6147,6.502,1.1641,17.2026,0.7476,29.5986,10.883,69.6701,8,2
2005,LTU,17.6,57.1072,7.7314,2.6585,18.5507,0.748,26.5479,8.325,71.189,8,2
2006,LTU,17.3,62.3826,7.3955,3.7391,20.4307,0.7938,26.7514,5.78,71.9705,8,2
2007,LTU,15.9,61.064,11.0779,5.7372,22.332,0.8011,28.9314,4.25,71.8616,8,2
2008,LTU,14.6,57.9009,2.5995,10.9259,23.4695,0.7888,30.4085,5.826,71.848,8,2
2009,LTU,27.9,49.991,-14.8386,4.453,22.4633,0.8285,30.9583,13.785,73.5036,8,2
2010,LTU,36.7,81.9343,0.4272,1.3192,23.9544,0.7938,32.44,17.814,73.4596,8,2
2011,LTU,37.4,81.4975,6.3236,4.1303,26.2771,0.91,33.4893,15.39,72.335,8,2
2012,LTU,39.9,80.0964,4.3829,3.09,27.241,0.8976,34.0538,13.365,72.1074,8,2
2013,LTU,38.9,78.012,4.0469,1.0475,28.5054,0.9532,35.1983,11.77,72.0562,8,2
2014,LTU,40.7,76.5302,3.7725,0.1038,29.2186,1.035,36.6681,10.698,72.4092,8,2
2015,LTU,42.4,77.6835,2.8328,-0.8841,29.1631,1.0408,38.7241,9.12,72.6353,8,2
2016,LTU,39.8,78.0349,2.6719,0.9055,29.2025,0.8439,39.7326,7.862,71.7661,8,2
