year,country,Public_Debt_pct_GDP,Energy_Import_Dependency,Tertiary_Education_Attainment
2005,JPN,58.6088,83.4649,39.939
2006,JPN,58.6088,82.3652,40.4643
2007,JPN,58.6088,84.3108,41.0249
2008,JPN,58.6088,84.2148,42.8423
2009,JPN,58.6088,80.6163,43.764
2010,JPN,58.6088,81.7425,44.81
2011,JPN,58.6088,90.8196,46.3641
2012,JPN,58.6088,96.1222,46.6194
2013,JPN,58.6088,95.673,47.312
2014,JPN,58.6088,95.5684,48.1851
2015,JPN,58.6088,94.8396,49.5416
2016,JPN,58.6088,93.8133,50.497
2017,JPN,58.6088,93.0887,51.4405
2018,JPN,58.6088,91.4437,51.9281
2019,JPN,58.6088,90.559,52.678
2020,JPN,58.6088,89.5796,54.0273
2021,JPN,58.6088,88.6817,55.5556
2022,JPN,58.6088,89.9708,56.1251
2023,JPN,58.6088,87.2799,55.9862
2024,JPN,58.6088,87.2799,57.0161
2000,LTU,23.5,59.1157,41.8014
2002,LTU,22.1,41.6814,35.7
2003,LTU,20.4,43.708,32.6493
2004,LTU,18.6,46.6147,29.5986
2005,LTU,17.6,57.1072,26.5479
2006,LTU,17.3,62.3826,26.7514
2007,LTU,15.9,61.064,28.9314
2008,LTU,14.6,57.9009,30.4085
2009,LTU,27.9,49.991,30.9583
2010,LTU,36.7,81.9343,32.44
2011,LTU,37.4,81.4975,33.4893
2012,LTU,39.9,80.0964,34.0538
2013,LTU,38.9,78.012,35.1983
2014,LTU,40.7,76.5302,36.6681
2015,LTU,42.4,77.6835,38.7241
2016,LTU,39.8,78.0349,39.7326
2017,LTU,39.1,75.1292,40.2739
2018,LTU,33.3,77.7376,41.6546
2019,LTU,35.6,79.0929,43.1494
2020,LTU,45.9,78.0218,44.1382
2021,LTU,43.3,76.5551,45.3431
2022,LTU,38.3,76.1662,46.5297
2023,LTU,37.1,71.456,46.3733
2024,LTU,38.0,71.456,47.6962
2000,LUX,7.5,100.0,18.2842
2002,LUX,7.4,100.0,21.5902
2003,LUX,7.4,100.0,23.2433
2004,LUX,7.8,100.0,24.8963
2005,LUX,8.0,100.0,26.5494
2006,LUX,8.2,100.0,23.9932
2007,LUX,8.1,100.0,26.5127
2008,LUX,14.6,100.0,27.6539
2009,LUX,15.3,100.0,34.796
2010,LUX,19.1,100.0,35.4759
2011,LUX,18.5,100.0,37.0348
2012,LUX,20.8,100.0,39.1104
2013,LUX,22.4,100.0,40.6732
2014,LUX,21.9,100.0,45.9356
2015,LUX,21.1,100.0,39.7949
2016,LUX,19.6,100.0,42.856
2017,LUX,21.8,100.0,40.3257
2018,LUX,20.9,100.0,43.8869
2019,LUX,22.3,100.0,51.643
2020,LUX,24.5,100.0,51.3123
2021,LUX,24.2,100.0,50.3044
2022,LUX,24.9,100.0,51.4886
2023,LUX,24.7,100.0,51.3237
2024,LUX,26.3,100.0,54.3539
2000,LVA,12.4,61.5337,18.218
2002,LVA,13.4,62.1902,18.8698
2003,LVA,14.8,66.6422,17.9204
2004,LVA,15.2,73.367,19.7855
2005,LVA,12.4,68.4418,20.293
2006,LVA,10.6,70.4849,20.9197
2007,LVA,8.9,65.8918,22.182
2008,LVA,19.5,62.7334,24.8225
2009,LVA,38.0,65.5123,25.8462
2010,LVA,48.6,49.2064,26.9461
2011,LVA,46.6,64.4702,27.6933
2012,LVA,44.0,60.9111,29.2272
2013,LVA,41.8,60.4801,31.012
2014,LVA,43.1,43.7074,30.2301
2015,LVA,38.3,55.533,31.5919
2016,LVA,41.7,52.0818,33.3615
2017,LVA,40.3,48.1887,33.8823
2018,LVA,38.3,46.2654,33.9393
2019,LVA,37.9,48.4186,35.7077
2020,LVA,44.0,48.6028,37.8339
2021,LVA,45.9,41.0238,39.0012
2022,LVA,44.4,40.3971,39.4673
2023,LVA,44.4,34.3077,39.1839
2024,LVA,46.2,34.3077,40.4566
2000,MEX,18.1919,0.0,14.635
2002,MEX,20.6272,0.0,15.3647
2003,MEX,21.8448,0.0,15.5543
2004,MEX,23.0625,0.0,16.5683
2005,MEX,24.2802,0.0,12.724
2006,MEX,25.4978,0.0,13.2621
2007,MEX,26.7155,0.0,13.5518
2008,MEX,27.9331,0.0,13.6726
2009,MEX,29.1508,0.0,14.3084
2010,MEX,30.3685,0.0,14.6546
2011,MEX,31.5861,0.0,15.0122
2012,MEX,32.8038,0.0,15.7095
2013,MEX,34.0214,0.0,16.2018
2014,MEX,35.2391,0.0,15.9964
2015,MEX,36.4568,0.0,16.2788
2016,MEX,37.6744,4.9338,16.8186
2017,MEX,38.8921,11.434,17.419
2018,MEX,40.1097,16.7913,17.9798
2019,MEX,41.3274,18.2994,18.2542
2020,MEX,45.8373,10.8895,19.433
2021,MEX,44.861,15.3118,20.4555
2022,MEX,43.9694,21.1051,20.6362
2023,MEX,45.0554,21.5844,20.9627
2024,MEX,49.5702,21.5844,21.8743
2000,NLD,52.2,46.482,23.3751
2002,NLD,48.8,42.7494,25.0209
2003,NLD,49.9,46.5189,27.545
2004,NLD,50.2,39.0613,29.5376
2005,NLD,49.6,46.5427,30.1154
2006,NLD,45.0,48.1253,30.1899
2007,NLD,42.8,47.0414,30.804
2008,NLD,54.3,41.979,32.1674
2009,NLD,56.3,41.8432,32.7854
2010,NLD,58.9,34.0418,32.3892
2011,NLD,61.2,36.3084,32.0413
2012,NLD,65.7,37.2648,34.3983
2013,NLD,67.2,28.8439,34.5233
2014,NLD,67.2,38.135,35.29
2015,NLD,63.8,58.82,36.4416
2016,NLD,60.9,55.4883,37.1276
2017,NLD,56.0,62.3249,38.2965
2018,NLD,51.6,71.6849,39.7967
2019,NLD,47.7,78.2545,40.8139
2020,NLD,53.4,81.7604,42.0592
2021,NLD,50.5,69.9462,43.0594
2022,NLD,48.4,99.3588,44.6598
2023,NLD,45.8,87.0174,44.2494
2024,NLD,43.8,87.0174,45.0983
2000,NOR,58.6088,0.0,32.6928
2002,NOR,58.6088,0.0,32.6928
2003,NOR,58.6088,0.0,32.6928
2004,NOR,58.6088,0.0,32.6928
2005,NOR,58.6088,0.0,32.6928
2006,NOR,58.6088,0.0,32.9263
2007,NOR,58.6088,0.0,34.1983
2008,NOR,58.6088,0.0,36.0042
2009,NOR,58.6088,0.0,36.6985
2010,NOR,58.6088,0.0,37.2843
2011,NOR,58.6088,0.0,38.0535
2012,NOR,58.6088,0.0,38.5619
2013,NOR,58.6088,0.0,39.7703
2014,NOR,58.6088,0.0,41.7579
2015,NOR,58.6088,0.0,42.7067
2016,NOR,58.6088,0.0,43.0168
2017,NOR,58.6088,0.0,43.207
2018,NOR,58.6088,0.0,43.5758
2019,NOR,58.6088,0.0,44.1294
2020,NOR,58.6088,0.0,45.2733
2021,NOR,58.6088,0.0,47.2201
2022,NOR,58.6088,0.0,48.0968
2023,NOR,58.6088,0.0,48.7941
2024,NOR,58.6088,0.0,50.4404
2000,NZL,32.7764,19.548,35.6289
2002,NZL,32.7764,21.6065,35.6289
2003,NZL,48.2453,26.1116,35.6289
2004,NZL,43.8675,30.5573,35.6289
2005,NZL,44.1698,29.2053,35.6289
2006,NZL,42.9525,28.433,35.6289
2007,NZL,36.9754,25.3053,35.6289
2008,NZL,36.0133,16.8532,35.6289
2009,NZL,31.8653,19.5158,35.6289
2010,NZL,34.7228,16.1033,35.6289
2011,NZL,48.0817,19.0822,35.6289
2012,NZL,51.5541,19.9071,35.6289
2013,NZL,46.4246,24.3582,35.6289
2014,NZL,43.8709,22.4295,35.6289
2015,NZL,42.9014,23.8783,34.0405
2016,NZL,41.3592,28.761,36.2751
2017,NZL,38.6292,28.826,37.7304
2018,NZL,36.6068,33.5179,39.2927
2019,NZL,32.7713,31.8443,39.0658
2020,NZL,45.7367,30.6458,40.1219
2021,NZL,51.3054,29.3932,40.4902
2022,NZL,53.9638,28.8214,39.8415
2023,NZL,50.1081,31.633,41.5778
2024,NZL,52.2498,31.633,43.962
2000,POL,36.2,10.7816,11.362
2002,POL,41.6,11.4915,12.5851
2003,POL,46.4,13.3597,14.1706
2004,POL,44.9,14.7708,15.7096
2005,POL,46.5,17.814,16.9269
2006,POL,47.1,20.2848,17.8919
2007,POL,44.4,25.9718,18.6885
2008,POL,46.6,31.0449,19.5658
2009,POL,49.7,32.1547,21.1509
2010,POL,53.7,31.9516,22.4684
2011,POL,54.8,34.2367,23.2836
2012,POL,54.5,31.7024,24.5128
2013,POL,56.9,26.5012,25.7557
2014,POL,51.1,29.6786,26.9955
2015,POL,51.1,30.1532,27.7473
2016,POL,54.1,31.1609,28.7112
2017,POL,50.4,38.8224,29.9195
2018,POL,48.2,44.0701,30.9196
2019,POL,45.2,45.8817,32.0148
2020,POL,56.6,43.0495,32.8752
2021,POL,53.0,41.1011,33.6684
2022,POL,48.8,46.8419,33.9156
2023,POL,49.5,48.8194,37.9394
2024,POL,54.8,48.8194,39.4532
2000,PRT,54.2,89.6907,8.8429
2002,PRT,60.0,87.5938,9.4179
2003,PRT,63.9,89.5751,10.959
2004,PRT,67.1,88.2039,12.5169
2005,PRT,72.2,92.7275,12.8444
2006,PRT,73.7,88.6562,13.4802
2007,PRT,72.7,85.8163,13.6921
2008,PRT,75.5,88.4104,14.3004
2009,PRT,87.6,85.7463,14.6668
2010,PRT,99.9,79.4992,15.4453
2011,PRT,114.0,82.8099,17.257
2012,PRT,128.6,85.1213,18.5341
2013,PRT,130.8,78.7824,19.3071
2014,PRT,132.5,77.439,21.7245
2015,PRT,131.0,84.2773,22.8755
2016,PRT,131.2,80.5911,23.8243
2017,PRT,126.0,87.1736,24.0951
2018,PRT,121.1,85.339,25.0477
2019,PRT,116.1,84.3565,26.3963
2020,PRT,134.1,71.5092,27.457
2021,PRT,123.9,73.7441,28.7995
2022,PRT,111.2,81.5128,29.4555
2023,PRT,96.9,77.2449,29.7553
2024,PRT,93.5,77.2449,31.4045
2000,SVK,50.6,65.0047,10.3733
2002,SVK,45.6,64.1995,10.9589
2003,SVK,43.6,64.6311,11.7848
2004,SVK,42.0,67.8716,12.7769
2005,SVK,35.0,65.558,14.0041
2006,SVK,31.5,64.04,14.5673
2007,SVK,30.4,69.1625,14.4384
2008,SVK,28.6,65.3979,14.7635
2009,SVK,36.4,67.2342,15.7628
2010,SVK,40.7,61.2802,17.328
2011,SVK,43.3,62.5663,18.6173
2012,SVK,51.7,58.1389,18.9791
2013,SVK,54.6,57.6005,19.8773
2014,SVK,53.4,59.7953,20.3796
2015,SVK,51.6,57.358,21.1499
2016,SVK,52.1,57.4894,21.9795
2017,SVK,51.4,61.8303,23.0954
2018,SVK,49.3,60.7892,24.5834
2019,SVK,48.0,69.4729,25.7863
2020,SVK,58.4,55.8609,26.7733
2021,SVK,60.2,51.9405,27.911
2022,SVK,57.8,68.8873,29.2167
2023,SVK,55.8,57.887,28.806
2024,SVK,59.7,57.887,29.0372
2000,SVN,26.1,51.7833,15.7265
2002,SVN,27.7,49.6914,15.2574
2003,SVN,27.0,52.398,17.7444
2004,SVN,27.1,51.2607,19.041
2005,SVN,26.6,50.8623,20.172
2006,SVN,26.2,51.1452,21.387
2007,SVN,22.9,51.2448,22.2276
2008,SVN,21.9,54.1628,22.6377
2009,SVN,34.9,48.293,23.3158
2010,SVN,38.6,48.6958,23.7166
2011,SVN,46.8,47.7773,25.0906
2012,SVN,54.1,51.5119,26.439
2013,SVN,70.8,47.3068,27.8805
2014,SVN,81.1,44.8246,28.6009
2015,SVN,83.4,49.0811,30.1733
2016,SVN,79.4,49.1782,30.7358
2017,SVN,74.9,51.1019,34.3028
2018,SVN,71.0,52.2004,32.4552
2019,SVN,66.0,52.8492,33.2833
2020,SVN,80.2,45.7954,35.881
2021,SVN,74.8,48.7162,40.3
2022,SVN,72.8,53.5471,40.1121
2023,SVN,68.3,48.9022,33.5106
2024,SVN,66.4,48.9022,34.6375
2000,SWE,50.4,40.5019,30.123
2002,SWE,49.8,38.3978,32.5651
2003,SWE,49.5,44.9098,33.4197
2004,SWE,48.7,38.5715,34.5294
2005,SWE,49.0,39.4564,29.6454
2006,SWE,43.9,39.7943,30.5204
2007,SWE,39.3,38.2973,31.3285
2008,SWE,38.0,40.0702,32.027
2009,SWE,41.3,39.49,33.0601
2010,SWE,38.7,39.0838,33.8689
2011,SWE,37.8,38.4577,35.1744
2012,SWE,38.1,31.4711,35.699
2013,SWE,41.2,34.0046,37.0344
2014,SWE,46.1,34.1036,38.7003
2015,SWE,44.8,32.8832,39.7866
2016,SWE,43.2,35.3637,41.1392
2017,SWE,41.9,28.6965,41.9367
2018,SWE,40.2,30.7466,43.2473
2019,SWE,36.0,32.0197,43.9705
2020,SWE,40.5,34.4418,44.6088
2021,SWE,37.2,22.5498,46.5595
2022,SWE,34.4,28.6999,48.504
2023,SWE,32.2,27.7524,49.3999
2024,SWE,34.2,27.7524,51.8263
2000,TUR,41.0319,66.4119,8.3462
2002,TUR,41.0319,68.8098,9.1409
2003,TUR,41.0319,71.8015,9.7045
2004,TUR,41.0319,71.9973,9.6539
2005,TUR,41.0319,73.6048,10.2386
2006,TUR,41.0319,74.1979,10.9193
2007,TUR,41.0319,75.5978,11.2909
2008,TUR,41.0319,73.6742,12.0407
2009,TUR,48.4871,71.5994,12.7103
2010,TUR,45.1797,71.8114,13.1185
2011,TUR,39.9693,72.3455,14.0341
2012,TUR,37.6997,76.5045,15.2902
2013,TUR,31.7836,76.7082,15.9074
2014,TUR,31.1207,78.7335,16.6936
2015,TUR,29.1451,80.4443,18.0201
2016,TUR,30.0752,77.2878,19.3625
2017,TUR,29.5734,79.1725,20.0131
2018,TUR,29.4,75.8316,20.7802
2019,TUR,33.4601,72.1974,21.9512
2020,TUR,41.0397,71.333,23.2018
2021,TUR,41.6375,72.1247,24.4525
2022,TUR,35.3301,72.7041,25.0
2023,TUR,33.2548,71.9929,25.9217
2024,TUR,26.6192,71.9929,26.9442
2000,USA,33.2677,26.6791,36.4948
2002,USA,54.0472,27.8963,38.133
2003,USA,56.4293,29.2686,38.422
2004,USA,56.8323,30.9354,39.053
2005,USA,56.693,31.7585,39.0547
2006,USA,55.6206,31.7738,39.4863
2007,USA,55.8142,30.5507,40.2709
2008,USA,63.9719,27.9184,41.1052
2009,USA,76.0322,25.912,41.2146
2010,USA,85.1548,24.085,41.6624
2011,USA,89.7347,20.6799,42.4484
2012,USA,93.833,17.5185,43.0524
2013,USA,95.7185,14.4331,43.9103
2014,USA,95.9491,11.6957,44.2246
2015,USA,96.6111,11.7389,44.6294
2016,USA,98.6932,12.2998,45.6664
2017,USA,97.8801,8.1003,46.3568
2018,USA,99.2224,3.5921,47.4311
2019,USA,100.9798,0.0,48.3402
2020,USA,126.3704,0.0,50.0553
2021,USA,120.3677,0.0,50.317
2022,USA,114.6948,0.0,50.0172
2023,USA,116.9188,0.0,50.706
2024,USA,117.9732,0.0,50.706
2000,ZAF,39.6391,0.0,6.8607
2002,ZAF,41.374,0.0,6.8607
2003,ZAF,42.2415,0.0,6.8607
2004,ZAF,43.109,0.0,6.8607
2005,ZAF,43.9764,0.0,6.8607
2006,ZAF,44.8439,0.0,6.8607
2007,ZAF,45.7114,0.0,6.8607
2008,ZAF,46.5788,0.0,6.8607
2009,ZAF,47.4463,0.0,6.8607
2010,ZAF,48.3138,0.0,6.8607
2011,ZAF,49.1813,0.0,7.1471
2012,ZAF,50.0487,0.0,9.5729
2013,ZAF,50.9162,0.0,12.6324
2014,ZAF,51.7837,0.0,12.7597
2015,ZAF,52.6512,0.0,12.0379
2016,ZAF,53.7388,0.0,13.8046
2017,ZAF,56.2597,0.0,15.4957
2018,ZAF,59.1023,0.0,15.388
2019,ZAF,64.5893,0.0,15.7982
2020,ZAF,75.7255,0.0,15.8397
2021,ZAF,74.0826,0.0,14.8769
2022,ZAF,76.2054,0.0,13.9141
2023,ZAF,79.4469,0.0,11.4498
2024,ZAF,79.4469,0.0,8.9854
