country,missing_count_before,total_cells,missing_prop_before
PER,144,264,0.5454545454545454
ROU,120,264,0.45454545454545453
BGR,96,264,0.36363636363636365
HRV,96,264,0.36363636363636365
ARG,48,264,0.18181818181818182
CHN,48,264,0.18181818181818182
RUS,48,264,0.18181818181818182
IDN,48,264,0.18181818181818182
IND,48,264,0.18181818181818182
BRA,48,264,0.18181818181818182
