Country,shock_id,Year,gdp_growth,gdp_index_dynamic_baseline_100,dynamic_baseline_year,first_negative_year
AUT,2007,2008,,100.0,2008,2009
AUT,2007,2009,-3.58626483259779,96.41373516740221,2008,2009
AUT,2007,2010,1.80898249539027,98.15784275973246,2008,2009
AUT,2007,2011,2.92746795992078,101.03138215667305,2008,2009
AUT,2007,2012,0.628246220372857,101.6661079964628,2008,2009
AUT,2007,2013,-0.250726440079771,101.41120418311561,2008,2009
AUT,2007,2014,0.755798904851364,102.17766895372817,2008,2009
AUT,2007,2015,1.30352326671129,103.50957864192326,2008,2009
AUT,2007,2016,2.117219630253,105.70110376012222,2008,2009
AUT,2007,2017,2.27224997423621,108.10289706307898,2008,2009
AUT,2007,2018,2.48422109586319,110.78841203715926,2008,2009
AUT,2007,2019,1.75497626702115,112.73272237502101,2008,2009
AUT,2007,2020,-6.31825516760371,105.6099813179809,2008,2009
AUT,2007,2021,4.92309176061612,110.80925760663463,2008,2009
AUT,2007,2022,5.33096379845654,116.71645901498277,2008,2009
AUT,2007,2023,-0.786244190690233,115.79878263639813,2008,2009
AUT,2007,2024,-0.659089746713982,115.03556473322202,2008,2009
AUT,2007,2025,0.849190974963907,116.01243636693529,2008,2009
BEL,2007,2008,,100.0,2008,2009
BEL,2007,2009,-1.90644105515336,98.09355894484663,2008,2009
BEL,2007,2010,2.71031150254662,100.75219995618616,2008,2009
BEL,2007,2011,1.93115502411325,102.69788112754468,2008,2009
BEL,2007,2012,0.215803612089753,102.91950686455755,2008,2009
BEL,2007,2013,0.305494549070219,103.23392034795873,2008,2009
BEL,2007,2014,1.76554038149922,105.0565568991067,2008,2009
BEL,2007,2015,1.47416433731927,106.60526319492884,2008,2009
BEL,2007,2016,1.19350273007754,107.87759992156667,2008,2009
BEL,2007,2017,1.47446761556784,109.468220196862,2008,2009
BEL,2007,2018,1.87796847383565,111.52399886102808,2008,2009
BEL,2007,2019,2.44289004481559,114.24840752678439,2008,2009
BEL,2007,2020,-4.7929839083518,108.77249973847742,2008,2009
BEL,2007,2021,6.25445686466592,115.57562881523934,2008,2009
BEL,2007,2022,4.02460852835886,120.22709542924184,2008,2009
BEL,2007,2023,1.56125539542029,122.10414744338799,2008,2009
BEL,2007,2024,1.09775383828704,123.44455040865543,2008,2009
BEL,2007,2025,0.983117967125924,124.65815596316075,2008,2009
BRA,2007,2008,,100.0,2008,2009
BRA,2007,2009,-0.125811937286412,99.87418806271359,2008,2009
BRA,2007,2010,7.52822589636044,107.39294255223052,2008,2009
BRA,2007,2011,3.97442307939189,111.66119244666444,2008,2009
BRA,2007,2012,1.92117598510397,113.8064004606305,2008,2009
BRA,2007,2013,3.0048226702726,117.22608098189275,2008,2009
BRA,2007,2014,0.503955740308835,117.81684854614008,2008,2009
BRA,2007,2015,-3.54576339346129,113.63934185906132,2008,2009
BRA,2007,2016,-3.27591690632862,109.91661144685975,2008,2009
BRA,2007,2017,1.32286905393206,111.370664284821,2008,2009
BRA,2007,2018,1.81706218395599,113.39433850956107,2008,2009
BRA,2007,2019,1.22077782269483,114.77863144627729,2008,2009
BRA,2007,2020,-3.27675879611742,111.0176125442982,2008,2009
BRA,2007,2021,4.7626043797599,116.30494222163783,2008,2009
BRA,2007,2022,3.01669431085386,119.81350679687984,2008,2009
BRA,2007,2023,3.24165626313067,123.69744884403738,2008,2009
CAN,2007,2008,,100.0,2008,2009
CAN,2007,2009,-2.91508625839376,97.08491374160624,2008,2009
CAN,2007,2010,3.09080636493577,100.08562043492421,2008,2009
CAN,2007,2011,3.13719441180021,103.22550092622421,2008,2009
CAN,2007,2012,1.75566131368798,105.03779111184656,2008,2009
CAN,2007,2013,2.3258135613525,107.48077430207101,2008,2009
CAN,2007,2014,2.87346677753097,110.56919864387407,2008,2009
CAN,2007,2015,0.649971004305851,111.28786637475261,2008,2009
CAN,2007,2016,1.03855091867276,112.44364753335891,2008,2009
CAN,2007,2017,3.03383491533961,115.85500217230737,2008,2009
CAN,2007,2018,2.74296343945575,119.03286252467441,2008,2009
CAN,2007,2019,1.9084319151316,121.30452366259001,2008,2009
CAN,2007,2020,-5.03823341596652,115.1929186163424,2008,2009
CAN,2007,2021,5.95052804144319,122.04750554036467,2008,2009
CAN,2007,2022,4.69541986535387,127.77814836067581,2008,2009
