shock_id,baseline_year,dominating_profile,dominated_profile,dominating_node_id,dominated_node_id,dominating_digit_sum,dominated_digit_sum,digit_sum_difference
2007,2007,3-3-5-4-4,2-2-4-3-3,2007__3-3-5-4-4,2007__2-2-4-3-3,19.0,14.0,5.0
2007,2007,3-3-5-4-4,1-2-4-4-1,2007__3-3-5-4-4,2007__1-2-4-4-1,19.0,12.0,7.0
2007,2007,3-3-5-4-4,2-1-4-2-3,2007__3-3-5-4-4,2007__2-1-4-2-3,19.0,12.0,7.0
2007,2007,3-3-5-4-4,3-1-1-2-4,2007__3-3-5-4-4,2007__3-1-1-2-4,19.0,11.0,8.0
2007,2007,3-3-5-4-4,2-2-2-1-3,2007__3-3-5-4-4,2007__2-2-2-1-3,19.0,10.0,9.0
2007,2007,3-3-5-4-4,1-3-2-1-2,2007__3-3-5-4-4,2007__1-3-2-1-2,19.0,9.0,10.0
2007,2007,3-3-5-4-4,1-1-1-2-2,2007__3-3-5-4-4,2007__1-1-1-2-2,19.0,7.0,12.0
2007,2007,3-3-5-4-4,1-2-2-1-1,2007__3-3-5-4-4,2007__1-2-2-1-1,19.0,7.0,12.0
2007,2007,1-4-3-5-5,1-3-2-1-2,2007__1-4-3-5-5,2007__1-3-2-1-2,18.0,9.0,9.0
2007,2007,1-4-3-5-5,1-1-1-2-2,2007__1-4-3-5-5,2007__1-1-1-2-2,18.0,7.0,11.0
2007,2007,1-4-3-5-5,1-2-2-1-1,2007__1-4-3-5-5,2007__1-2-2-1-1,18.0,7.0,11.0
2007,2007,3-2-5-5-3,2-2-4-3-3,2007__3-2-5-5-3,2007__2-2-4-3-3,18.0,14.0,4.0
2007,2007,3-2-5-5-3,1-2-4-4-1,2007__3-2-5-5-3,2007__1-2-4-4-1,18.0,12.0,6.0
2007,2007,3-2-5-5-3,2-1-4-2-3,2007__3-2-5-5-3,2007__2-1-4-2-3,18.0,12.0,6.0
2007,2007,3-2-5-5-3,2-2-2-1-3,2007__3-2-5-5-3,2007__2-2-2-1-3,18.0,10.0,8.0
