Country,energy_import_dependency_raw,gdp_growth,inflation_cpi,productivity_gdp_per_hour,public_debt_gdp_canonical,public_debt_gdp_eurostat,public_debt_gdp_worldbank,rd_gdp,tertiary_education_25_64,unemployment_rate,final5_ordering_variable_total_years
NZL,22,24,24,22,23,0,23,11,11,24,91
OMN,21,0,0,0,0,0,0,0,0,0,21
OSS,2,0,0,0,0,0,0,0,0,0,2
PAK,21,0,0,0,0,0,0,0,0,0,21
PAN,21,0,0,0,0,0,0,0,0,0,21
PER,21,0,0,0,16,0,16,0,4,21,62
PHL,21,0,0,0,13,0,13,0,0,0,34
PLW,0,0,0,0,12,0,12,0,0,0,12
PNG,0,0,0,0,11,0,11,0,0,0,11
POL,22,24,24,23,24,24,0,23,23,24,116
PRK,21,0,0,0,0,0,0,0,0,0,21
PRT,22,24,24,23,24,24,0,23,23,24,116
PRY,22,0,0,0,0,0,0,0,0,0,22
QAT,20,0,0,0,0,0,0,0,0,0,20
ROU,22,0,0,23,24,24,0,23,6,24,99
RUS,21,18,20,0,21,0,21,19,0,21,82
RWA,20,0,0,0,0,0,0,0,0,0,20
SAU,21,0,23,0,0,0,0,0,0,0,21
SDN,21,0,0,0,0,0,0,0,0,0,21
SEN,22,0,0,0,0,0,0,0,0,0,22
SGP,22,0,0,0,23,0,23,22,0,0,67
SLB,0,0,0,0,11,0,11,0,0,0,11
SLV,21,0,0,0,23,0,23,0,0,0,44
SMR,0,0,0,0,22,0,22,0,0,0,22
SOM,0,0,0,0,3,0,3,0,0,0,3
SRB,22,0,0,0,0,0,0,0,0,0,22
SSD,11,0,0,0,0,0,0,0,0,0,11
SST,21,0,0,0,0,0,0,0,0,0,21
SUR,22,0,0,0,0,0,0,0,0,0,22
SVK,22,24,24,23,24,24,0,23,23,24,116
SVN,22,24,24,23,24,24,0,23,23,24,116
SWE,22,24,24,23,24,24,0,22,23,24,115
SWZ,21,0,0,0,11,0,11,0,0,0,32
SYC,0,0,0,0,1,0,1,0,0,0,1
SYR,21,0,0,0,0,0,0,0,0,0,21
TCD,18,0,0,0,0,0,0,0,0,0,18
TGO,2,0,0,0,0,0,0,0,0,0,2
THA,22,0,0,0,22,0,22,0,0,16,60
TJK,21,0,0,0,0,0,0,0,0,0,21
TKM,21,0,0,0,0,0,0,0,0,0,21
TON,0,0,0,0,8,0,8,0,0,0,8
TTO,21,0,0,0,2,0,2,0,0,0,23
TUN,21,0,0,0,11,0,11,0,0,0,32
TUR,22,24,24,20,17,0,17,23,22,24,108
TWN,0,0,0,0,0,0,0,23,0,0,23
TZA,11,0,0,0,0,0,0,0,0,0,11
UGA,21,0,0,0,7,0,7,0,0,0,28
UKR,22,0,0,0,13,0,13,0,0,0,35
URY,21,0,0,0,23,0,23,0,0,0,44
USA,22,24,23,22,23,0,23,23,22,24,114
UZB,21,0,0,0,0,0,0,0,0,0,21
VCT,0,0,0,0,8,0,8,0,0,0,8
VEN,21,0,0,0,0,0,0,0,0,0,21
VNM,21,0,0,0,0,0,0,0,0,0,21
VUT,0,0,0,0,3,0,3,0,0,0,3
YEM,21,0,0,0,0,0,0,0,0,0,21
ZAF,22,24,23,0,9,0,9,21,13,24,89
ZMB,21,0,0,0,12,0,12,0,0,0,33
ZWE,21,0,0,0,0,0,0,0,0,0,21
