Country,years_available,min_year,max_year,mean_gdp_growth_pre_shock,median_gdp_growth_pre_shock,gdp_growth_volatility_sd,gdp_growth_min_pre_shock,gdp_growth_max_pre_shock,shock_id,shock_label,baseline_year,window_start,window_end,expected_year_count,min_required_years,coverage_rate,sufficient_window_coverage,gdp_growth_stability_score_0_100,volatility_feature_role
ITA,6,2002,2007,0.9724479719460182,1.1123513650996955,0.7118703751255432,0.066553808873212,1.79947992234244,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,91.39783074583147,diagnostic_or_sensitivity_only_not_final_ordering
JPN,6,2002,2007,1.4501692162596322,1.6373437797807449,0.7145682241370337,0.084988804991643,2.11294823729499,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,91.299847314646,diagnostic_or_sensitivity_only_not_final_ordering
KOR,6,2002,2007,5.241261333707535,5.214321182768405,1.555729949410833,3.07472661826946,7.74399895319568,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,60.74961575120884,diagnostic_or_sensitivity_only_not_final_ordering
LTU,6,2002,2007,8.329771480162718,7.563463555539769,1.9826045839652953,6.50203494769177,11.0779289615295,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,45.245915877142956,diagnostic_or_sensitivity_only_not_final_ordering
LUX,6,2002,2007,4.445478657668475,3.7279833019286,2.2152476378119244,2.48250530191029,8.09852254631858,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,36.79653099300993,diagnostic_or_sensitivity_only_not_final_ordering
LVA,6,2002,2007,9.945772792610393,9.56984034827534,2.0142991978059017,7.6654877858699,12.825017846905,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,44.09479622553366,diagnostic_or_sensitivity_only_not_final_ordering
MEX,6,2002,2007,2.251753749254949,2.095555511161455,1.767652540611143,-0.236587996336347,4.80501355413649,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,53.05277929257692,diagnostic_or_sensitivity_only_not_final_ordering
NLD,6,2002,2007,1.969450475734848,2.02514955004745,1.5880298227276357,0.097854856489369,3.88542358248021,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,59.5765136239374,diagnostic_or_sensitivity_only_not_final_ordering
NOR,6,2002,2007,2.6868822661092246,2.90849986064036,1.2153337800905841,1.09635781941971,4.33015597852733,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,73.11249613863447,diagnostic_or_sensitivity_only_not_final_ordering
NZL,6,2002,2007,3.7062525547054186,3.4998538746594647,1.0181195308524256,2.30948447834989,5.03797727124646,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,80.27513894656066,diagnostic_or_sensitivity_only_not_final_ordering
POL,6,2002,2007,4.4564568768097015,4.307085000885245,1.8755063607752092,1.90119438935371,6.76045126044817,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,49.13562628619041,diagnostic_or_sensitivity_only_not_final_ordering
PRT,6,2002,2007,1.090433540709586,1.2034413904792314,1.1883149151278865,-0.930520921213726,2.50657937732592,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,74.09379682837161,diagnostic_or_sensitivity_only_not_final_ordering
RUS,6,2002,2007,7.046714239600742,7.23590185913349,1.3617584269128693,4.74378268150322,8.53508018556642,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,67.79448566263565,diagnostic_or_sensitivity_only_not_final_ordering
SVK,6,2002,2007,6.815449891088732,5.93721539635579,2.538077223431467,4.41725348271514,10.8186295074903,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,25.071653005967388,diagnostic_or_sensitivity_only_not_final_ordering
SVN,6,2002,2007,4.6542962746599486,4.2000742175851205,1.575543518869312,3.19503108090833,7.13923237939151,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,60.03000486442276,diagnostic_or_sensitivity_only_not_final_ordering
SWE,6,2002,2007,3.1720702378261603,3.009002984681255,1.0853690080061162,1.88102769675844,4.67607488877993,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,77.83269888083301,diagnostic_or_sensitivity_only_not_final_ordering
TUR,6,2002,2007,7.241232721516522,6.75156745295787,1.897996869990858,5.10818522274506,9.92540547829595,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,48.31879137338688,diagnostic_or_sensitivity_only_not_final_ordering
USA,6,2002,2007,2.7692954766692215,2.790072801695615,0.8249273238389765,1.7004473278454,3.84777169424154,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,87.29170482584055,diagnostic_or_sensitivity_only_not_final_ordering
ZAF,6,2002,2007,4.574223710653798,4.915805940566225,1.0561537668323626,2.94907546691197,5.6038064578302,2007,Global Financial Crisis,2007,2002,2007,6,4,1.0,True,78.893769964101,diagnostic_or_sensitivity_only_not_final_ordering
AUS,8,2012,2019,2.1754496373026475,2.44725004190125,0.9696307195675617,-0.133531904304771,2.87417039499501,2019,COVID shock,2019,2012,2019,8,5,1.0,True,92.24083785230054,diagnostic_or_sensitivity_only_not_final_ordering
AUT,8,2012,2019,1.3831886149036612,1.52924976686622,0.9501361599033722,-0.250726440079771,2.48422109586319,2019,COVID shock,2019,2012,2019,8,5,1.0,True,92.49922753283309,diagnostic_or_sensitivity_only_not_final_ordering
BEL,8,2012,2019,1.3437289680343851,1.4743159764435552,0.7632928674212907,0.215803612089753,2.44289004481559,2019,COVID shock,2019,2012,2019,8,5,1.0,True,94.97573274688928,diagnostic_or_sensitivity_only_not_final_ordering
BRA,8,2012,2019,0.3711228945597968,1.271823438313445,2.441254239611867,-3.54576339346129,3.0048226702726,2019,COVID shock,2019,2012,2019,8,5,1.0,True,72.73527641574564,diagnostic_or_sensitivity_only_not_final_ordering
CAN,8,2012,2019,2.0410867306846274,2.11712273824205,0.8694375661675114,0.649971004305851,3.03383491533961,2019,COVID shock,2019,2012,2019,8,5,1.0,True,93.56884306732184,diagnostic_or_sensitivity_only_not_final_ordering
CHE,8,2012,2019,1.8416097653671462,1.645313577722175,0.7629563294248749,1.11532189907696,3.32743250824354,2019,COVID shock,2019,2012,2019,8,5,1.0,True,94.98019337318085,diagnostic_or_sensitivity_only_not_final_ordering
