Country,shock_id,baseline_year,profile_code,profile_digit_sum,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,main_variable_set,levels,layer,is_pareto_frontier,observed_dominance_score_normalized,observed_dominated_by_score_normalized,observed_incomparability_score_normalized,embedded_dominance_score_normalized,embedded_dominated_by_score_normalized,embedded_incomparability_score_normalized,observed_separation_score_normalized,embedded_separation_score_normalized,recovery_years,recovery_status,target_flag
LVA,2007,2007,5-3-1-2-2,13.0,5,3,1,2,2,95.03475670307844,64.97840596780526,4.648322921366291,24.86420354967548,25.27507708313845,baseline_5_variables,5,3,False,0.0833333333333333,0.125,0.7916666666666666,0.0188860435339308,0.0765044814340589,0.9046094750320104,0.0050074183976261,0.0026290165530671,10.0,recovered,False
NLD,2007,2007,3-5-4-4-4,20.0,3,5,4,4,4,61.37040714995036,89.80499934563537,41.98347549644867,49.78073136937666,36.96642739992762,baseline_5_variables,5,2,False,0.3333333333333333,0.0416666666666666,0.625,0.306978233034571,0.0073623559539052,0.6856594110115237,0.3397626112759644,0.1783836416747809,6.0,recovered,False
POL,2007,2007,3-1-1-2-4,11.0,3,1,1,2,4,59.78152929493545,18.49234393404005,3.933981317598306,14.76847175187326,50.03416432123203,baseline_5_variables,5,3,False,0.0416666666666666,0.25,0.7083333333333334,0.0073623559539052,0.1917413572343149,0.8008962868117798,0.0016691394658753,0.0008763388510223,0.0,no_negative_growth_in_shock_window,False
PRT,2007,2007,1-2-2-1-1,7.0,1,2,2,1,1,31.67825223435948,39.9947650831043,23.42040079062233,0.3293804995427485,12.917556290688706,baseline_5_variables,5,5,False,0.0,0.7083333333333334,0.2916666666666667,0.0009603072983354,0.6398847631241997,0.3591549295774648,0.0,0.0,9.0,recovered,False
SVK,2007,2007,4-1-1-1-2,9.0,4,1,1,1,2,73.68421052631578,0.0,0.0,2.486148416725561,23.24651428877013,baseline_5_variables,5,4,False,0.0,0.25,0.75,0.0022407170294494,0.3197823303457106,0.6779769526248399,0.0,0.0,1.0,recovered,False
SVN,2007,2007,5-4-3-2-4,18.0,5,4,3,2,4,81.1320754716981,81.12812459102211,34.0933110360528,24.99601701506888,34.359418366661046,baseline_5_variables,5,1,True,0.2916666666666667,0.0,0.7083333333333334,0.1533290653008963,0.0150448143405889,0.8316261203585147,0.154673590504451,0.0812074001947419,8.0,recovered,False
SWE,2007,2007,3-3-5-4-4,19.0,3,3,5,4,4,64.84607745779543,63.7482004973171,96.69552068284526,51.2964706259738,42.38965728121482,baseline_5_variables,5,2,False,0.3333333333333333,0.0416666666666666,0.625,0.2301536491677336,0.0112035851472471,0.7586427656850192,0.2333086053412462,0.1224926971762414,2.0,recovered,False
USA,2007,2007,2-4-5-5-4,20.0,2,4,5,5,4,48.44663866194638,83.6932338699123,75.01278612171896,77.13898717309793,47.194218437799535,baseline_5_variables,5,1,True,0.3333333333333333,0.0,0.6666666666666666,0.2557618437900128,0.0048015364916773,0.7394366197183099,0.2828264094955489,0.1484907497565725,1.0,recovered,True
AUS,2019,2019,3-3-3-5-5,19.0,3,3,3,5,5,70.73261383439076,88.08641041162227,36.31892606143274,72.49028470317627,100.0,baseline_5_variables,5,1,True,0.2424242424242424,0.0,0.7575757575757576,0.2157490396927016,0.0083226632522407,0.7759282970550576,0.4053511705685618,0.1008991008991009,0.0,no_negative_growth_in_shock_window,False
AUT,2019,2019,2-3-5-3-2,15.0,2,3,5,3,2,64.40872560275545,90.65148305084746,69.82192665670692,41.588964679838746,10.303772082724375,baseline_5_variables,5,2,False,0.1212121212121212,0.0303030303030303,0.8484848484848485,0.0572983354673495,0.0457746478873239,0.8969270166453265,0.0923076923076923,0.0229770229770229,2.0,recovered,False
