year,country,Governance score (0-100)
2000,ARG,64.5902122
2000,AUS,82.0517314
2000,AUT,81.175534
2000,BEL,82.1186084
2000,BGR,62.642855499999996
2000,BRA,61.899754099999996
2000,CAN,85.1962023
2000,CHE,84.1567697
2000,CHL,75.1836479
2000,CHN,28.9626585
2000,COL,46.4837911
2000,CRI,75.8555597
2000,CYP,73.2251142
2000,CZE,69.4788009
2000,DEU,84.74835739999999
2000,DNK,86.0777677
2000,ESP,79.1183265
2000,EST,75.5104509
2000,FIN,86.3089265
2000,FRA,78.3023254
2000,GBR,81.13789489999999
2000,GRC,78.34142949999999
2000,HRV,61.254923899999994
2000,HUN,76.88376269999999
2000,IDN,44.5807857
2000,IND,61.448867199999995
2000,IRL,81.13736279999999
2000,ISL,82.6258673
2000,ISR,65.2663491
2000,ITA,73.2475103
2000,JPN,75.168167
2000,LTU,70.5585802
2000,LUX,82.92753139999999
2000,LVA,67.13825779999999
2000,MEX,59.7257822
2000,MLT,75.5659443
2000,NLD,86.3911305
2000,NOR,85.6626541
2000,NZL,83.7458463
2000,POL,78.08268319999999
2000,PRT,80.9542063
2000,ROU,59.4880511
2000,RUS,47.2453384
2000,SAU,22.5311886
2000,SGP,60.7621343
2000,SVK,71.3721134
2000,SVN,75.6010053
2000,SWE,86.0697323
2000,TUR,47.643145499999996
2000,USA,79.24405209999999
2000,ZAF,65.8229563
2002,ARG,62.677685499999995
2002,AUS,82.2533828
2002,AUT,81.5922245
2002,BEL,83.2817713
2002,BGR,64.08099299999999
2002,BRA,65.3207101
2002,CAN,85.3728549
2002,CHE,85.1303159
2002,CHL,77.37596239999999
2002,CHN,28.232794199999997
2002,COL,48.3780242
2002,CRI,76.5935399
2002,CYP,75.0563961
2002,CZE,72.3867082
2002,DEU,83.8049959
2002,DNK,87.0867074
2002,ESP,79.4625672
2002,EST,74.1950356
2002,FIN,87.2647357
2002,FRA,78.49105829999999
2002,GBR,82.52421629999999
2002,GRC,76.6197184
2002,HRV,64.8160363
2002,HUN,75.3859399
2002,IDN,49.722856
2002,IND,62.352457699999995
2002,IRL,80.76120279999999
2002,ISL,83.8665855
2002,ISR,65.92588669999999
2002,ITA,73.70920679999999
2002,JPN,75.24020019999999
2002,LTU,68.0745395
2002,LUX,82.48021159999999
2002,LVA,67.1253637
2002,MEX,61.9995323
2002,MLT,75.593614
2002,NLD,86.081718
2002,NOR,86.1027787
2002,NZL,83.7719985
2002,POL,73.92318689999999
2002,PRT,81.56062899999999
2002,ROU,60.340634099999995
2002,RUS,49.902552299999996
2002,SAU,24.8947492
2002,SGP,60.6308272
2002,SVK,70.1715284
2002,SVN,74.7983989
2002,SWE,86.7042377
2002,TUR,51.8230514
2002,USA,81.4067577
2002,ZAF,65.81927019999999
2003,ARG,64.1974319
2003,AUS,82.3347099
2003,AUT,81.1125356
2003,BEL,83.7350683
2003,BGR,64.51505829999999
2003,BRA,65.4164977
2003,CAN,85.3155465
2003,CHE,85.3937004
2003,CHL,76.5771121
2003,CHN,28.9693689
2003,COL,48.4317971
2003,CRI,75.7827196
2003,CYP,74.6798913
2003,CZE,73.2181849
2003,DEU,82.8235036
2003,DNK,87.562355
2003,ESP,77.7688478
2003,EST,75.1218099
2003,FIN,86.7083718
2003,FRA,78.4370771
2003,GBR,82.5184195
2003,GRC,77.51795659999999
2003,HRV,65.7711629
2003,HUN,76.2018832
2003,IDN,50.037886799999995
2003,IND,62.6734551
2003,IRL,81.9055611
2003,ISL,84.3183177
2003,ISR,66.9394873
2003,ITA,73.27727329999999
