country,Public_Debt (%GDP)
ALB,
ARG,
BIH,
BOL,
CHN,
CRI,
CYP,
DOM,
ECU,
GEO,
GTM,
HND,
IND,
MDA,
MKD,
MLT,
MNE,
NIC,
PAN,
PER,
PHL,
PRY,
RUS,
SAU,
SGP,
SLV,
SRB,
UKR,
URY,
