country,Energy_Import_Dependency
ARG,
AUS,
BOL,
BRA,
CAN,
CHE,
CHL,
CHN,
COL,
CRI,
DOM,
ECU,
GBR,
GRC,
GTM,
HND,
IDN,
IND,
ISR,
JPN,
MEX,
MNE,
NIC,
NZL,
PAN,
PER,
PHL,
PRY,
RUS,
SAU,
SGP,
SLV,
URY,
USA,
ZAF,
