shock_id,baseline_year,epsilon,dominating_country,dominated_country
2007,2007,0.1,EST,IRL
2007,2007,0.1,EST,ITA
2007,2007,0.1,EST,LTU
2007,2007,0.1,EST,LVA
2007,2007,0.1,EST,POL
2007,2007,0.1,EST,PRT
2007,2007,0.1,EST,SVK
2007,2007,0.1,FIN,BEL
2007,2007,0.1,FIN,DEU
2007,2007,0.1,FIN,ESP
2007,2007,0.1,FIN,FRA
2007,2007,0.1,FIN,GRC
2007,2007,0.1,FIN,HUN
2007,2007,0.1,FIN,ITA
2007,2007,0.1,FIN,PRT
2007,2007,0.1,FIN,SVK
2007,2007,0.1,FRA,GRC
2007,2007,0.1,FRA,HUN
2007,2007,0.1,FRA,PRT
2007,2007,0.1,GBR,BEL
2007,2007,0.1,GBR,GRC
2007,2007,0.1,GBR,ITA
2007,2007,0.1,HUN,PRT
2007,2007,0.1,IRL,ESP
2007,2007,0.1,IRL,GRC
2007,2007,0.1,IRL,ITA
2007,2007,0.1,IRL,PRT
2007,2007,0.1,LTU,GRC
2007,2007,0.1,LTU,HUN
2007,2007,0.1,LTU,LVA
2007,2007,0.1,LTU,SVK
2007,2007,0.1,LVA,GRC
2007,2007,0.1,LVA,SVK
2007,2007,0.1,NLD,BEL
2007,2007,0.1,NLD,ESP
2007,2007,0.1,NLD,GRC
2007,2007,0.1,NLD,HUN
2007,2007,0.1,NLD,ITA
2007,2007,0.1,NLD,PRT
2007,2007,0.1,SVN,GRC
2007,2007,0.1,SVN,HUN
2007,2007,0.1,SVN,ITA
2007,2007,0.1,SVN,PRT
2007,2007,0.1,SVN,SVK
2007,2007,0.1,SWE,BEL
2007,2007,0.1,SWE,DEU
2007,2007,0.1,SWE,ESP
2007,2007,0.1,SWE,FRA
2007,2007,0.1,SWE,GRC
2007,2007,0.1,SWE,HUN
2007,2007,0.1,SWE,ITA
2007,2007,0.1,SWE,POL
2007,2007,0.1,SWE,PRT
2007,2007,0.1,SWE,SVK
2007,2007,0.1,USA,AUT
2007,2007,0.1,USA,BEL
2007,2007,0.1,USA,DEU
2007,2007,0.1,USA,FRA
2007,2007,0.1,USA,GBR
2007,2007,0.1,USA,GRC
2007,2007,0.1,USA,HUN
2007,2007,0.1,USA,ITA
2007,2007,0.1,USA,PRT
2007,2007,0.15,AUT,DEU
2007,2007,0.15,AUT,FRA
2007,2007,0.15,AUT,GRC
2007,2007,0.15,AUT,HUN
2007,2007,0.15,AUT,ITA
2007,2007,0.15,AUT,PRT
2007,2007,0.15,BEL,GRC
2007,2007,0.15,BEL,PRT
2007,2007,0.15,CAN,BEL
2007,2007,0.15,CAN,CZE
2007,2007,0.15,CAN,ESP
2007,2007,0.15,CAN,FRA
2007,2007,0.15,CAN,GBR
2007,2007,0.15,CAN,GRC
2007,2007,0.15,CAN,HUN
2007,2007,0.15,CAN,ITA
2007,2007,0.15,CAN,POL
2007,2007,0.15,CAN,PRT
2007,2007,0.15,CAN,SVK
2007,2007,0.15,CZE,HUN
2007,2007,0.15,CZE,ITA
