neighbour_country,ordinal_manhattan_distance_0_1,rank,shock_id,Country,ordinal_similarity_0_1
NLD,0.2,3,2019,AUT,0.8
DEU,0.2,4,2019,AUT,0.8
HUN,0.25,5,2019,AUT,0.75
AUT,0.15,1,2019,BEL,0.85
SVN,0.25,2,2019,BEL,0.75
PRT,0.25,3,2019,BEL,0.75
NLD,0.25,4,2019,BEL,0.75
KOR,0.3,5,2019,BEL,0.7
ROU,0.15,1,2019,BGR,0.85
NZL,0.15,2,2019,BGR,0.85
POL,0.2,3,2019,BGR,0.8
SVK,0.25,4,2019,BGR,0.75
CZE,0.25,5,2019,BGR,0.75
AUS,0.0,1,2019,CAN,1.0
EST,0.2,2,2019,CAN,0.8
DNK,0.25,3,2019,CAN,0.75
FIN,0.25,4,2019,CAN,0.75
IRL,0.25,5,2019,CAN,0.75
EST,0.2,1,2019,CHE,0.8
NLD,0.2,2,2019,CHE,0.8
SWE,0.2,3,2019,CHE,0.8
NZL,0.2,4,2019,CHE,0.8
KOR,0.25,5,2019,CHE,0.75
ZAF,0.05,1,2019,COL,0.95
HRV,0.2,2,2019,COL,0.8
SVK,0.25,3,2019,COL,0.75
ROU,0.25,4,2019,COL,0.75
TUR,0.35,5,2019,COL,0.65
NZL,0.2,1,2019,CZE,0.8
POL,0.25,2,2019,CZE,0.75
BGR,0.25,3,2019,CZE,0.75
DNK,0.25,4,2019,CZE,0.75
ROU,0.3,5,2019,CZE,0.7
HUN,0.15,1,2019,DEU,0.85
NLD,0.2,2,2019,DEU,0.8
AUT,0.2,3,2019,DEU,0.8
POL,0.25,4,2019,DEU,0.75
KOR,0.25,5,2019,DEU,0.75
SWE,0.15,1,2019,DNK,0.85
NZL,0.15,2,2019,DNK,0.85
SVN,0.15,3,2019,DNK,0.85
FIN,0.2,4,2019,DNK,0.8
AUS,0.25,5,2019,DNK,0.75
GRC,0.1,1,2019,ESP,0.9
PRT,0.2,2,2019,ESP,0.8
ITA,0.2,3,2019,ESP,0.8
HRV,0.25,4,2019,ESP,0.75
FRA,0.25,5,2019,ESP,0.75
NZL,0.1,1,2019,EST,0.9
AUS,0.2,2,2019,EST,0.8
CHE,0.2,3,2019,EST,0.8
CAN,0.2,4,2019,EST,0.8
DNK,0.25,5,2019,EST,0.75
SWE,0.15,1,2019,FIN,0.85
SVN,0.15,2,2019,FIN,0.85
DNK,0.2,3,2019,FIN,0.8
FRA,0.2,4,2019,FIN,0.8
NLD,0.25,5,2019,FIN,0.75
SVN,0.15,1,2019,FRA,0.85
FIN,0.2,2,2019,FRA,0.8
AUT,0.25,3,2019,FRA,0.75
PRT,0.25,4,2019,FRA,0.75
ITA,0.25,5,2019,FRA,0.75
USA,0.1,1,2019,GBR,0.9
FIN,0.25,2,2019,GBR,0.75
AUS,0.3,3,2019,GBR,0.7
SVN,0.3,4,2019,GBR,0.7
NLD,0.3,5,2019,GBR,0.7
PRT,0.1,1,2019,GRC,0.9
ITA,0.1,2,2019,GRC,0.9
ESP,0.1,3,2019,GRC,0.9
HRV,0.25,4,2019,GRC,0.75
FRA,0.25,5,2019,GRC,0.75
SVK,0.15,1,2019,HRV,0.85
COL,0.2,2,2019,HRV,0.8
ZAF,0.25,3,2019,HRV,0.75
TUR,0.25,4,2019,HRV,0.75
SVN,0.25,5,2019,HRV,0.75
DEU,0.15,1,2019,HUN,0.85
POL,0.2,2,2019,HUN,0.8
NLD,0.25,3,2019,HUN,0.75
AUT,0.25,4,2019,HUN,0.75
PRT,0.25,5,2019,HUN,0.75
NLD,0.15,1,2019,IRL,0.85
LUX,0.2,2,2019,IRL,0.8
AUS,0.25,3,2019,IRL,0.75
LTU,0.25,4,2019,IRL,0.75
CAN,0.25,5,2019,IRL,0.75
PRT,0.1,1,2019,ITA,0.9
GRC,0.1,2,2019,ITA,0.9
ESP,0.2,3,2019,ITA,0.8
HRV,0.25,4,2019,ITA,0.75
FRA,0.25,5,2019,ITA,0.75
CHE,0.25,1,2019,KOR,0.75
NLD,0.25,2,2019,KOR,0.75
DEU,0.25,3,2019,KOR,0.75
BEL,0.3,4,2019,KOR,0.7
LUX,0.3,5,2019,KOR,0.7
LVA,0.1,1,2019,LTU,0.9
SVK,0.2,2,2019,LTU,0.8
IRL,0.25,3,2019,LTU,0.75
LUX,0.25,4,2019,LTU,0.75
TUR,0.3,5,2019,LTU,0.7
IRL,0.2,1,2019,LUX,0.8
LTU,0.25,2,2019,LUX,0.75
KOR,0.3,3,2019,LUX,0.7
LVA,0.35,4,2019,LUX,0.65
NLD,0.35,5,2019,LUX,0.65
SVK,0.1,1,2019,LVA,0.9
LTU,0.1,2,2019,LVA,0.9
HRV,0.25,3,2019,LVA,0.75
BGR,0.25,4,2019,LVA,0.75
POL,0.25,5,2019,LVA,0.75
IRL,0.15,1,2019,NLD,0.85
AUT,0.2,2,2019,NLD,0.8
CHE,0.2,3,2019,NLD,0.8
SVN,0.2,4,2019,NLD,0.8
DEU,0.2,5,2019,NLD,0.8
EST,0.1,1,2019,NZL,0.9
BGR,0.15,2,2019,NZL,0.85
DNK,0.15,3,2019,NZL,0.85
CHE,0.2,4,2019,NZL,0.8
CZE,0.2,5,2019,NZL,0.8
HUN,0.2,1,2019,POL,0.8
BGR,0.2,2,2019,POL,0.8
ROU,0.25,3,2019,POL,0.75
LVA,0.25,4,2019,POL,0.75
NZL,0.25,5,2019,POL,0.75
ITA,0.1,1,2019,PRT,0.9
GRC,0.1,2,2019,PRT,0.9
ESP,0.2,3,2019,PRT,0.8
HRV,0.25,4,2019,PRT,0.75
BEL,0.25,5,2019,PRT,0.75
BGR,0.15,1,2019,ROU,0.85
ZAF,0.2,2,2019,ROU,0.8
POL,0.25,3,2019,ROU,0.75
COL,0.25,4,2019,ROU,0.75
SVK,0.3,5,2019,ROU,0.7
LVA,0.1,1,2019,SVK,0.9
HRV,0.15,2,2019,SVK,0.85
LTU,0.2,3,2019,SVK,0.8
ZAF,0.2,4,2019,SVK,0.8
COL,0.25,5,2019,SVK,0.75
AUT,0.1,1,2019,SVN,0.9
DNK,0.15,2,2019,SVN,0.85
FIN,0.15,3,2019,SVN,0.85
FRA,0.15,4,2019,SVN,0.85
NLD,0.2,5,2019,SVN,0.8
FIN,0.15,1,2019,SWE,0.85
DNK,0.15,2,2019,SWE,0.85
CHE,0.2,3,2019,SWE,0.8
AUS,0.3,4,2019,SWE,0.7
LVA,0.3,5,2019,SWE,0.7
HRV,0.25,1,2019,TUR,0.75
SVK,0.3,2,2019,TUR,0.7
LVA,0.3,3,2019,TUR,0.7
LTU,0.3,4,2019,TUR,0.7
ITA,0.3,5,2019,TUR,0.7
GBR,0.1,1,2019,USA,0.9
AUS,0.3,2,2019,USA,0.7
CAN,0.3,3,2019,USA,0.7
BEL,0.35,4,2019,USA,0.65
FIN,0.35,5,2019,USA,0.65
COL,0.05,1,2019,ZAF,0.95
SVK,0.2,2,2019,ZAF,0.8
ROU,0.2,3,2019,ZAF,0.8
HRV,0.25,4,2019,ZAF,0.75
LVA,0.3,5,2019,ZAF,0.7
