shock_id,same_layer,pairs,mean_distance,median_distance,mean_similarity
2007,False,237,0.43164556962025313,0.4,0.5683544303797468
2007,True,63,0.3603174603174603,0.35,0.6396825396825396
2019,False,438,0.4320776255707763,0.45,0.5679223744292238
2019,True,157,0.35509554140127386,0.35,0.6449044585987261
