shock_id,countries_with_any_data,countries_sufficient_coverage,mean_years_available,median_years_available,mean_coverage_rate,mean_volatility_sd,median_volatility_sd,mean_stability_score
2007,44,44,6.0,6.0,1.0,1.4755509380512437,1.4722945250362933,63.661644781970544
2019,44,44,8.0,8.0,1.0,1.5007702126855718,1.2123957520494546,85.20087561108679
