shock_id,baseline_year,countries,unique_profiles,profile_uniqueness_ratio,dominance_relations,hasse_edges,layers,frontier_profiles,frontier_countries,comparability_ratio,incomparability_ratio,main_variable_set,levels
2007,2007,25,25,1.0,96,52,5,8,8,0.32,0.68,baseline_5_variables,5
2019,2019,35,34,0.9714285714285714,129,64,4,12,13,0.22994652406417113,0.7700534759358288,baseline_5_variables,5
