shock_id,baseline_year,profile_code,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,countries,country_count,profile_digit_sum,mean_debt_capacity_score,mean_employment_strength_score,mean_rd_intensity_score,mean_human_capital_tertiary_score,mean_energy_security_score,node_id,main_variable_set,levels,layer,is_pareto_frontier,variable_count,profile_levels,full_profile_space_size,observed_dominates_count,observed_dominated_by_count,observed_incomparable_with_count,observed_dominance_score_normalized,observed_dominated_by_score_normalized,observed_incomparability_score_normalized,embedded_dominance_raw,embedded_dominated_by_raw,embedded_incomparability_raw,embedded_dominance_score_normalized,embedded_dominated_by_score_normalized,embedded_incomparability_score_normalized,observed_separation_raw,observed_separation_score_normalized,embedded_separation_score_normalized,score_role
2007,2007,2-4-5-3-2,2,4,5,3,2,AUT,1,16.0,38.530287984111226,80.60463290145269,68.73029725083978,33.275741765017905,22.62007222087811,2007__2-4-5-3-2,baseline_5_variables,5,2,False,5,5,3125,3,2,19,0.125,0.08333333333333333,0.7916666666666666,239.0,95.0,2790.0,0.0765044814340589,0.030409731113956465,0.8930857874519846,272.0,0.050445103857566766,0.026484907497565727,diagnostic_poset_score_not_index
2007,2007,4-3-3-1-5,4,3,3,1,5,CZE,1,16.0,76.76266137040716,74.61065305588274,29.390389885987307,0.44663183102145,50.55619451737794,2007__4-3-3-1-5,baseline_5_variables,5,2,False,5,5,3125,4,1,19,0.16666666666666666,0.041666666666666664,0.7916666666666666,179.0,89.0,2856.0,0.057298335467349554,0.028489116517285532,0.9142125480153649,184.0,0.03412462908011869,0.017916260954235638,diagnostic_poset_score_not_index
2007,2007,4-4-2-4-1,4,4,2,4,1,IRL,1,15.0,80.1390268123138,81.40295772804606,27.223684982515177,54.36450330306708,7.710476097086999,2007__4-4-2-4-1,baseline_5_variables,5,2,False,5,5,3125,1,2,21,0.041666666666666664,0.08333333333333333,0.875,127.0,159.0,2838.0,0.040653008962868116,0.05089628681177977,0.9084507042253521,48.0,0.008902077151335312,0.004673807205452775,diagnostic_poset_score_not_index
2007,2007,2-2-4-3-3,2,2,4,3,3,FRA,1,14.0,38.82820258192651,39.562884439209526,54.70072352512234,37.76496819897556,33.909460313319514,2007__2-2-4-3-3,baseline_5_variables,5,3,False,5,5,3125,4,6,14,0.16666666666666666,0.25,0.5833333333333334,143.0,287.0,2694.0,0.045774647887323945,0.09186939820742637,0.8623559539052497,131.0,0.024295252225519287,0.012755598831548198,diagnostic_poset_score_not_index
2007,2007,5-3-1-2-2,5,3,1,2,2,LVA,1,13.0,95.03475670307844,64.97840596780526,4.648322921366291,24.86420354967548,25.27507708313845,2007__5-3-1-2-2,baseline_5_variables,5,3,False,5,5,3125,2,3,19,0.08333333333333333,0.125,0.7916666666666666,59.0,239.0,2826.0,0.01888604353393086,0.0765044814340589,0.9046094750320103,27.0,0.005007418397626113,0.002629016553067186,diagnostic_poset_score_not_index
2007,2007,1-2-4-4-1,1,2,4,4,1,BEL,1,12.0,16.981132075471695,46.577673079439855,48.53596129441771,53.51127611716117,9.613947055901342,2007__1-2-4-4-1,baseline_5_variables,5,3,False,5,5,3125,1,6,17,0.041666666666666664,0.25,0.7083333333333334,31.0,399.0,2694.0,0.009923175416133162,0.12772087067861715,0.8623559539052497,12.0,0.002225519287833828,0.0011684518013631937,diagnostic_poset_score_not_index
2007,2007,2-1-4-2-3,2,1,4,2,3,DEU,1,12.0,40.61569016881827,31.14775552938096,68.23146618176881,30.98497562887163,28.58329615310983,2007__2-1-4-2-3,baseline_5_variables,5,4,False,5,5,3125,1,7,16,0.041666666666666664,0.2916666666666667,0.6666666666666666,47.0,479.0,2598.0,0.015044814340588988,0.1533290653008963,0.8316261203585147,16.0,0.002967359050445104,0.001557935735150925,diagnostic_poset_score_not_index
2007,2007,4-1-3-3-1,4,1,3,3,1,ESP,1,12.0,68.42105263157895,36.44810888627143,27.36697161673024,45.36635297439316,12.778389311997874,2007__4-1-3-3-1,baseline_5_variables,5,2,False,5,5,3125,0,2,22,0.0,0.08333333333333333,0.9166666666666666,35.0,449.0,2640.0,0.01120358514724712,0.1437259923175416,0.8450704225352113,0.0,0.0,0.0,diagnostic_poset_score_not_index
2007,2007,3-1-1-2-4,3,1,1,2,4,POL,1,11.0,59.78152929493545,18.49234393404005,3.933981317598306,14.76847175187326,50.03416432123203,2007__3-1-1-2-4,baseline_5_variables,5,3,False,5,5,3125,1,6,17,0.041666666666666664,0.25,0.7083333333333334,23.0,599.0,2502.0,0.00736235595390525,0.19174135723431499,0.8008962868117798,9.0,0.0016691394658753709,0.0008763388510223953,diagnostic_poset_score_not_index
2007,2007,2-2-2-1-3,2,2,2,1,3,HUN,1,10.0,38.72889771598808,47.25821227588012,17.56243433777991,12.91964427241276,28.464013117361407,2007__2-2-2-1-3,baseline_5_variables,5,4,False,5,5,3125,1,10,13,0.041666666666666664,0.4166666666666667,0.5416666666666666,23.0,959.0,2142.0,0.00736235595390525,0.30697823303457106,0.6856594110115237,6.0,0.001112759643916914,0.0005842259006815969,diagnostic_poset_score_not_index
2007,2007,1-3-2-1-2,1,3,2,1,2,ITA,1,9.0,1.0923535253227352,64.67739824630283,23.421604726453666,0.0,13.003623416105148,2007__1-3-2-1-2,baseline_5_variables,5,3,False,5,5,3125,1,10,13,0.041666666666666664,0.4166666666666667,0.5416666666666666,11.0,1199.0,1914.0,0.0035211267605633804,0.38380281690140844,0.6126760563380281,4.0,0.000741839762611276,0.00038948393378773126,diagnostic_poset_score_not_index
2007,2007,4-1-1-1-2,4,1,1,1,2,SVK,1,9.0,73.68421052631578,0.0,0.0,2.486148416725561,23.24651428877013,2007__4-1-1-1-2,baseline_5_variables,5,4,False,5,5,3125,0,6,18,0.0,0.25,0.75,7.0,999.0,2118.0,0.002240717029449424,0.31978233034571063,0.6779769526248399,0.0,0.0,0.0,diagnostic_poset_score_not_index
2007,2007,1-1-1-2-2,1,1,1,2,2,GRC,1,7.0,0.0,34.30179295903676,4.768047182198515,26.919380425850665,16.15119135769017,2007__1-1-1-2-2,baseline_5_variables,5,5,False,5,5,3125,0,15,9,0.0,0.625,0.375,3.0,1999.0,1122.0,0.0009603072983354673,0.6398847631241997,0.3591549295774648,0.0,0.0,0.0,diagnostic_poset_score_not_index
2007,2007,1-2-2-1-1,1,2,2,1,1,PRT,1,7.0,31.67825223435948,39.9947650831043,23.42040079062233,0.3293804995427485,12.917556290688706,2007__1-2-2-1-1,baseline_5_variables,5,5,False,5,5,3125,0,17,7,0.0,0.7083333333333334,0.2916666666666667,3.0,1999.0,1122.0,0.0009603072983354673,0.6398847631241997,0.3591549295774648,0.0,0.0,0.0,diagnostic_poset_score_not_index
2019,2019,1-5-5-5-5,1,5,5,5,5,USA,1,21.0,47.19874493174339,93.74243341404356,69.79533248807502,75.29026170293265,32.46930200745625,2019__1-5-5-5-5,baseline_5_variables,5,1,True,5,5,3125,6,0,27,0.18181818181818182,0.0,0.8181818181818182,624.0,4.0,2496.0,0.1997439180537772,0.0012804097311139564,0.7989756722151088,1139.0,0.38093645484949834,0.09482184482184482,diagnostic_poset_score_not_index
2019,2019,5-4-3-4-5,5,4,3,4,5,EST,1,21.0,100.0,90.9011803874092,31.395058301039747,59.15988352457292,30.70006381249264,2019__5-4-3-4-5,baseline_5_variables,5,1,True,5,5,3125,14,0,19,0.42424242424242425,0.0,0.5757575757575758,1199.0,11.0,1914.0,0.38380281690140844,0.0035211267605633804,0.6126760563380281,2766.0,0.9250836120401338,0.23026973026973027,diagnostic_poset_score_not_index
2019,2019,5-4-5-4-3,5,4,5,4,3,CHE,1,21.0,94.285729158055,91.00332929782084,68.37586413849523,66.20312909766103,15.912588479882489,2019__5-4-5-4-3,baseline_5_variables,5,1,True,5,5,3125,14,0,19,0.42424242424242425,0.0,0.5757575757575758,1199.0,11.0,1914.0,0.38380281690140844,0.0035211267605633804,0.6126760563380281,2990.0,1.0,0.24891774891774893,diagnostic_poset_score_not_index
2019,2019,4-5-5-5-1,4,5,5,5,1,KOR,1,20.0,83.5272770322768,93.34897094430993,100.0,79.20227153757206,6.280888671076726,2019__4-5-5-5-1,baseline_5_variables,5,1,True,5,5,3125,5,0,28,0.15151515151515152,0.0,0.8484848484848485,499.0,9.0,2616.0,0.15973111395646608,0.002880921895006402,0.8373879641485276,1016.0,0.33979933110367894,0.08458208458208458,diagnostic_poset_score_not_index
2019,2019,1-5-4-5-4,1,5,4,5,4,GBR,1,19.0,13.907824411124569,92.97820823244552,57.55191953717922,73.57330806734069,21.460990190868166,2019__1-5-4-5-4,baseline_5_variables,5,2,False,5,5,3125,4,1,28,0.12121212121212122,0.030303030303030304,0.8484848484848485,399.0,19.0,2706.0,0.12772087067861715,0.006081946222791294,0.8661971830985915,598.0,0.2,0.049783549783549784,diagnostic_poset_score_not_index
2019,2019,3-3-3-5-5,3,3,3,5,5,"AUS, CAN",2,19.0,72.63314828017016,87.09897094430993,35.89630671252976,86.24514235158813,77.24323113802491,2019__3-3-3-5-5,baseline_5_variables,5,1,True,5,5,3125,8,0,25,0.24242424242424243,0.0,0.7575757575757576,674.0,26.0,2424.0,0.21574903969270168,0.008322663252240717,0.7759282970550576,1212.0,0.40535117056856185,0.1008991008991009,diagnostic_poset_score_not_index
