Country,Year,gdp_growth,shock_id,window_start,window_end
HUN,2004,4.96312536165007,2007,2002,2007
HUN,2005,4.30028318556613,2007,2002,2007
HUN,2006,3.93393162690614,2007,2002,2007
HUN,2007,0.332354337185429,2007,2002,2007
IDN,2002,4.49947539085689,2007,2002,2007
IDN,2003,4.78036912167579,2007,2002,2007
IDN,2004,5.03087394501789,2007,2002,2007
IDN,2005,5.69257130383465,2007,2002,2007
IDN,2006,5.50095178520269,2007,2002,2007
IDN,2007,6.34502224454879,2007,2002,2007
IND,2002,3.80397530900001,2007,2002,2007
IND,2003,7.86038149762783,2007,2002,2007
IND,2004,7.92289630885549,2007,2002,2007
IND,2005,9.28487232007561,2007,2002,2007
IND,2006,9.26396474952749,2007,2002,2007
IND,2007,9.80136032617434,2007,2002,2007
IRL,2002,5.89936540298198,2007,2002,2007
IRL,2003,3.01383837562145,2007,2002,2007
IRL,2004,6.78814002017836,2007,2002,2007
IRL,2005,5.73978211699353,2007,2002,2007
IRL,2006,4.98785352356441,2007,2002,2007
IRL,2007,5.31011819912991,2007,2002,2007
ISL,2002,0.542286720297309,2007,2002,2007
ISL,2003,2.28136974279383,2007,2002,2007
ISL,2004,7.62260518574537,2007,2002,2007
ISL,2005,7.02934061878853,2007,2002,2007
ISL,2006,5.67161248116976,2007,2002,2007
ISL,2007,8.74132940558098,2007,2002,2007
ISR,2002,-0.152799999976782,2007,2002,2007
ISR,2003,1.43450000001713,2007,2002,2007
ISR,2004,4.65042000004581,2007,2002,2007
ISR,2005,4.35258999994785,2007,2002,2007
ISR,2006,5.59110000003125,2007,2002,2007
ISR,2007,6.31295000001307,2007,2002,2007
ITA,2002,0.269929663788746,2007,2002,2007
ITA,2003,0.066553808873212,2007,2002,2007
ITA,2004,1.47402170647232,2007,2002,2007
ITA,2005,0.762410677306481,2007,2002,2007
ITA,2006,1.79947992234244,2007,2002,2007
ITA,2007,1.46229205289291,2007,2002,2007
JPN,2002,0.084988804991643,2007,2002,2007
JPN,2003,1.38010935829106,2007,2002,2007
JPN,2004,2.11294823729499,2007,2002,2007
JPN,2005,1.84828133741861,2007,2002,2007
JPN,2006,1.54630843080456,2007,2002,2007
JPN,2007,1.72837912875693,2007,2002,2007
KOR,2002,7.74399895319568,2007,2002,2007
KOR,2003,3.07472661826946,2007,2002,2007
KOR,2004,5.18363685973339,2007,2002,2007
KOR,2005,4.35823667337155,2007,2002,2007
KOR,2006,5.24500550580342,2007,2002,2007
KOR,2007,5.84196339187171,2007,2002,2007
LTU,2002,6.7198403515244,2007,2002,2007
LTU,2003,10.5518975091511,2007,2002,2007
LTU,2004,6.50203494769177,2007,2002,2007
LTU,2005,7.73144615721876,2007,2002,2007
LTU,2006,7.39548095386078,2007,2002,2007
LTU,2007,11.0779289615295,2007,2002,2007
LUX,2002,3.22528885664988,2007,2002,2007
LUX,2003,2.61925087141763,2007,2002,2007
LUX,2004,4.23067774720732,2007,2002,2007
LUX,2005,2.48250530191029,2007,2002,2007
LUX,2006,6.01662662250715,2007,2002,2007
LUX,2007,8.09852254631858,2007,2002,2007
LVA,2002,7.6654877858699,2007,2002,2007
LVA,2003,8.42913257059108,2007,2002,2007
