Country,shock_id,baseline_year,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,debt_capacity_level_3,employment_strength_level_3,rd_intensity_level_3,human_capital_tertiary_level_3,energy_security_level_3,profile_code_3levels,profile_digit_sum_3levels,levels,debt_capacity_level_4,employment_strength_level_4,rd_intensity_level_4,human_capital_tertiary_level_4,energy_security_level_4,profile_code_4levels,profile_digit_sum_4levels,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,profile_code_5levels,profile_digit_sum_5levels
FRA,2007,2007,38.82820258192651,39.562884439209526,54.70072352512234,37.76496819897556,33.909460313319514,,,,,,,,5,,,,,,,,2.0,2.0,4.0,3.0,3.0,2-2-4-3-3,14.0
GBR,2007,2007,11.148376159671502,76.66535793744274,40.26269042451276,63.455884233491766,52.607492487646,,,,,,,,5,,,,,,,,1.0,4.0,3.0,5.0,5.0,1-4-3-5-5,18.0
GRC,2007,2007,0.0,34.30179295903676,4.768047182198515,26.919380425850665,16.15119135769017,,,,,,,,5,,,,,,,,1.0,1.0,1.0,2.0,2.0,1-1-1-2-2,7.0
HUN,2007,2007,38.72889771598808,47.25821227588012,17.56243433777991,12.91964427241276,28.464013117361407,,,,,,,,5,,,,,,,,2.0,2.0,2.0,1.0,3.0,2-2-2-1-3,10.0
IRL,2007,2007,80.1390268123138,81.40295772804606,27.223684982515177,54.36450330306708,7.710476097086999,,,,,,,,5,,,,,,,,4.0,4.0,2.0,4.0,1.0,4-4-2-4-1,15.0
ITA,2007,2007,1.0923535253227352,64.67739824630283,23.421604726453666,0.0,13.003623416105148,,,,,,,,5,,,,,,,,1.0,3.0,2.0,1.0,2.0,1-3-2-1-2,9.0
LTU,2007,2007,88.08341608738827,88.56170658290799,12.241503786463827,44.36931062788691,28.2693532576944,,,,,,,,5,,,,,,,,5.0,5.0,1.0,3.0,3.0,5-5-1-3-3,17.0
LUX,2007,2007,95.8291956305859,90.9828556471666,38.90454762117885,37.37941988145978,0.0,,,,,,,,5,,,,,,,,5.0,5.0,3.0,3.0,1.0,5-5-3-3-1,17.0
LVA,2007,2007,95.03475670307844,64.97840596780526,4.648322921366291,24.864203549675477,25.27507708313845,,,,,,,,5,,,,,,,,5.0,3.0,1.0,2.0,2.0,5-3-1-2-2,13.0
NLD,2007,2007,61.37040714995036,89.80499934563537,41.98347549644867,49.78073136937666,36.96642739992762,,,,,,,,5,,,,,,,,3.0,5.0,4.0,4.0,4.0,3-5-4-4-4,20.0
POL,2007,2007,59.78152929493545,18.49234393404005,3.933981317598306,14.76847175187326,50.03416432123203,,,,,,,,5,,,,,,,,3.0,1.0,1.0,2.0,4.0,3-1-1-2-4,11.0
PRT,2007,2007,31.67825223435948,39.9947650831043,23.420400790622335,0.3293804995427485,12.917556290688706,,,,,,,,5,,,,,,,,1.0,2.0,2.0,1.0,1.0,1-2-2-1-1,7.0
SVK,2007,2007,73.68421052631578,0.0,0.0,2.486148416725561,23.24651428877013,,,,,,,,5,,,,,,,,4.0,1.0,1.0,1.0,2.0,4-1-1-1-2,9.0
SVN,2007,2007,81.1320754716981,81.12812459102211,34.0933110360528,24.99601701506888,34.359418366661046,,,,,,,,5,,,,,,,,5.0,4.0,3.0,2.0,4.0,5-4-3-2-4,18.0
SWE,2007,2007,64.84607745779543,63.7482004973171,96.69552068284526,51.2964706259738,42.38965728121482,,,,,,,,5,,,,,,,,3.0,3.0,5.0,4.0,4.0,3-3-5-4-4,19.0
USA,2007,2007,48.44663866194638,83.6932338699123,75.01278612171896,77.13898717309793,47.194218437799535,,,,,,,,5,,,,,,,,2.0,4.0,5.0,5.0,4.0,2-4-5-5-4,20.0
AUS,2019,2019,70.73261383439076,88.08641041162227,36.31892606143274,72.49028470317627,100.0,2.0,2.0,2.0,3.0,3.0,2-2-2-3-3,12.0,3,,,,,,,,,,,,,,
