Country,shock_id,baseline_year,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,debt_capacity_level_3,employment_strength_level_3,rd_intensity_level_3,human_capital_tertiary_level_3,energy_security_level_3,profile_code_3levels,profile_digit_sum_3levels,levels,debt_capacity_level_4,employment_strength_level_4,rd_intensity_level_4,human_capital_tertiary_level_4,energy_security_level_4,profile_code_4levels,profile_digit_sum_4levels,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,profile_code_5levels,profile_digit_sum_5levels
FRA,2019,2019,48.79448909299655,75.67720944309927,46.38236732624888,51.146451516585664,17.587817154788816,,,,,,,,4,1.0,1.0,3.0,2.0,3.0,1-1-3-2-3,10.0,,,,,,,
GBR,2019,2019,13.907824411124569,92.97820823244552,57.55191953717922,73.57330806734069,21.460990190868166,,,,,,,,4,1.0,4.0,3.0,4.0,3.0,1-4-3-4-3,15.0,,,,,,,
GRC,2019,2019,0.0,42.12696731234868,23.265835619162388,37.23172433222257,6.474180945360969,,,,,,,,4,1.0,1.0,2.0,2.0,1.0,1-1-2-2-1,7.0,,,,,,,
HRV,2019,2019,64.46613088404133,82.85411622276028,18.685613976028822,21.706485550615252,15.208864633434748,,,,,,,,4,2.0,2.0,1.0,1.0,2.0,2-2-1-1-2,8.0,,,,,,,
HUN,2019,2019,67.85304247990815,94.72230629539952,28.27273965832401,23.56059240981288,11.675201685346895,,,,,,,,4,2.0,4.0,2.0,1.0,2.0,2-4-2-1-2,11.0,,,,,,,
IRL,2019,2019,73.13432835820896,91.01467917675544,20.166212481399363,72.89946653230325,10.028071361933492,,,,,,,,4,2.0,3.0,1.0,4.0,2.0,2-3-1-4-2,12.0,,,,,,,
ITA,2019,2019,28.300803673937995,70.22926755447942,28.046364181677674,9.016937042213849,8.024234487142774,,,,,,,,4,1.0,1.0,2.0,1.0,1.0,1-1-2-1-1,6.0,,,,,,,
KOR,2019,2019,83.5272770322768,93.34897094430993,100.0,79.20227153757206,6.280888671076726,,,,,,,,4,3.0,4.0,4.0,4.0,1.0,3-4-4-4-1,16.0,,,,,,,
LTU,2019,2019,84.73019517795638,83.97018765133171,16.453232398855995,63.28073788427946,8.94617543152759,,,,,,,,4,4.0,2.0,1.0,3.0,1.0,4-2-1-3-1,11.0,,,,,,,
LUX,2019,2019,92.3650975889782,86.55417675544793,21.279666077782107,82.93168499028502,0.0,,,,,,,,4,4.0,2.0,2.0,4.0,1.0,4-2-2-4-1,13.0,,,,,,,
LVA,2019,2019,83.40987370838117,83.77345641646488,8.367212675345845,46.06342513959475,17.966545280752904,,,,,,,,4,3.0,2.0,1.0,2.0,3.0,3-2-1-2-3,11.0,,,,,,,
NLD,2019,2019,77.7841561423651,90.88983050847456,44.98890555612938,57.877273620554725,9.192714183363854,,,,,,,,4,3.0,3.0,3.0,3.0,1.0,3-3-3-3-1,13.0,,,,,,,
NZL,2019,2019,86.35401056117124,92.06643462469734,28.25954467037914,53.832715868724144,22.840569260034176,,,,,,,,4,4.0,4.0,2.0,3.0,4.0,4-4-2-3-4,17.0,,,,,,,
POL,2019,2019,79.21928817451206,95.37681598062952,24.41487904805224,37.519264700462045,18.712590897678595,,,,,,,,4,3.0,4.0,2.0,2.0,3.0,3-4-2-2-3,14.0,,,,,,,
PRT,2019,2019,38.51894374282434,82.64981840193705,26.544367548649976,24.52017759818624,7.398281928082919,,,,,,,,4,1.0,2.0,2.0,2.0,1.0,1-2-2-2-1,8.0,,,,,,,
ROU,2019,2019,84.95981630309988,92.82309322033898,3.857956731537156,6.134073406177688,23.2781103467362,,,,,,,,4,4.0,4.0,1.0,1.0,4.0,4-4-1-1-4,14.0,,,,,,,
SVK,2019,2019,77.61194029850746,85.85805084745763,12.355061647969832,23.108830516661,11.77511808391389,,,,,,,,4,3.0,2.0,1.0,1.0,2.0,3-2-1-1-2,9.0,,,,,,,
SVN,2019,2019,67.27898966704937,90.83308111380146,42.932603292166014,40.45413332556315,16.66366192322806,,,,,,,,4,2.0,3.0,3.0,2.0,2.0,2-3-3-2-2,12.0,,,,,,,
SWE,2019,2019,84.50057405281287,82.01044188861985,76.31854943926389,65.18051809903986,22.78898045599404,,,,,,,,4,3.0,1.0,4.0,3.0,4.0,3-1-4-3-4,15.0,,,,,,,
TUR,2019,2019,85.95862545518266,55.67493946731234,24.05710619748545,14.235789751453732,10.9739338024312,,,,,,,,4,4.0,1.0,2.0,1.0,2.0,4-1-2-1-2,10.0,,,,,,,
USA,2019,2019,47.19874493174339,93.74243341404356,69.79533248807502,75.29026170293265,32.46930200745625,,,,,,,,4,1.0,4.0,4.0,4.0,4.0,1-4-4-4-4,17.0,,,,,,,
ZAF,2019,2019,68.08881852175062,0.0,7.200551492704578,0.0,36.1103793762552,,,,,,,,4,2.0,1.0,1.0,1.0,4.0,2-1-1-1-4,9.0,,,,,,,
AUS,2019,2019,70.73261383439076,88.08641041162227,36.31892606143274,72.49028470317627,100.0,,,,,,,,5,,,,,,,,3.0,3.0,3.0,5.0,5.0,3-3-3-5-5,19.0
AUT,2019,2019,64.40872560275545,90.65148305084746,69.82192665670692,41.588964679838746,10.303772082724375,,,,,,,,5,,,,,,,,2.0,3.0,5.0,3.0,2.0,2-3-5-3-2,15.0
BEL,2019,2019,49.08151549942594,87.34866828087166,70.00715941122002,57.54448788543463,5.46515980316359,,,,,,,,5,,,,,,,,1.0,3.0,5.0,4.0,1.0,1-3-5-4-1,14.0
BGR,2019,2019,93.62801377726753,91.94158595641646,12.749112297042558,28.496841117990552,20.64124573945459,,,,,,,,5,,,,,,,,5.0,4.0,1.0,2.0,4.0,5-4-1-2-4,16.0
CAN,2019,2019,74.53368272594955,86.11153147699758,35.47368736362677,100.0,54.48646227604982,,,,,,,,5,,,,,,,,3.0,3.0,3.0,5.0,5.0,3-3-3-5-5,19.0
CHE,2019,2019,94.285729158055,91.00332929782084,68.37586413849523,66.20312909766103,15.912588479882489,,,,,,,,5,,,,,,,,5.0,4.0,5.0,4.0,3.0,5-4-5-4-3,21.0
COL,2019,2019,63.43060931281159,66.4497578692494,0.0,18.71941503554236,85.55347454172669,,,,,,,,5,,,,,,,,2.0,1.0,1.0,1.0,5.0,2-1-1-1-5,10.0
CZE,2019,2019,88.17451205510908,100.0,38.93005528739562,19.46745072163916,20.143056681479017,,,,,,,,5,,,,,,,,5.0,5.0,4.0,1.0,4.0,5-5-4-1-4,19.0
DEU,2019,2019,71.46957520091848,95.75514527845036,68.99058338263042,32.62676583229808,11.642461682241064,,,,,,,,5,,,,,,,,3.0,5.0,5.0,2.0,2.0,3-5-5-2-2,17.0
DNK,2019,2019,83.18025258323765,89.7510593220339,63.93351198500172,56.81279284261066,19.33427082234978,,,,,,,,5,,,,,,,,4.0,3.0,4.0,3.0,4.0,4-3-4-3-4,18.0
ESP,2019,2019,49.08151549942594,54.25998789346247,22.76382925945436,52.74810418787415,7.822474809952926,,,,,,,,5,,,,,,,,2.0,1.0,2.0,3.0,1.0,2-1-2-3-1,9.0
EST,2019,2019,100.0,90.9011803874092,31.395058301039747,59.15988352457292,30.70006381249264,,,,,,,,5,,,,,,,,5.0,4.0,3.0,4.0,5.0,5-4-3-4-5,21.0
FIN,2019,2019,67.68082663605051,82.47578692493947,61.68909567901926,69.72411216524709,19.14721488130329,,,,,,,,5,,,,,,,,2.0,2.0,4.0,4.0,4.0,2-2-4-4-4,16.0
FRA,2019,2019,48.79448909299655,75.67720944309927,46.38236732624888,51.146451516585664,17.587817154788816,,,,,,,,5,,,,,,,,1.0,1.0,4.0,3.0,3.0,1-1-4-3-3,12.0
GBR,2019,2019,13.907824411124569,92.97820823244552,57.55191953717922,73.57330806734069,21.460990190868166,,,,,,,,5,,,,,,,,1.0,5.0,4.0,5.0,4.0,1-5-4-5-4,19.0
GRC,2019,2019,0.0,42.12696731234868,23.265835619162388,37.23172433222257,6.474180945360969,,,,,,,,5,,,,,,,,1.0,1.0,2.0,2.0,1.0,1-1-2-2-1,7.0
HRV,2019,2019,64.46613088404133,82.85411622276028,18.685613976028822,21.706485550615252,15.208864633434748,,,,,,,,5,,,,,,,,2.0,2.0,2.0,1.0,3.0,2-2-2-1-3,10.0
HUN,2019,2019,67.85304247990815,94.72230629539952,28.27273965832401,23.56059240981288,11.675201685346895,,,,,,,,5,,,,,,,,2.0,5.0,3.0,2.0,2.0,2-5-3-2-2,14.0
IRL,2019,2019,73.13432835820896,91.01467917675544,20.166212481399363,72.89946653230325,10.028071361933492,,,,,,,,5,,,,,,,,3.0,4.0,2.0,5.0,2.0,3-4-2-5-2,16.0
ITA,2019,2019,28.300803673937995,70.22926755447942,28.046364181677674,9.016937042213849,8.024234487142774,,,,,,,,5,,,,,,,,1.0,1.0,3.0,1.0,1.0,1-1-3-1-1,7.0
KOR,2019,2019,83.5272770322768,93.34897094430993,100.0,79.20227153757206,6.280888671076726,,,,,,,,5,,,,,,,,4.0,5.0,5.0,5.0,1.0,4-5-5-5-1,20.0
LTU,2019,2019,84.73019517795638,83.97018765133171,16.453232398855995,63.28073788427946,8.94617543152759,,,,,,,,5,,,,,,,,4.0,2.0,1.0,4.0,2.0,4-2-1-4-2,13.0
LUX,2019,2019,92.3650975889782,86.55417675544793,21.279666077782107,82.93168499028502,0.0,,,,,,,,5,,,,,,,,5.0,3.0,2.0,5.0,1.0,5-3-2-5-1,16.0
LVA,2019,2019,83.40987370838117,83.77345641646488,8.367212675345845,46.06342513959475,17.966545280752904,,,,,,,,5,,,,,,,,4.0,2.0,1.0,3.0,3.0,4-2-1-3-3,13.0
NLD,2019,2019,77.7841561423651,90.88983050847456,44.98890555612938,57.877273620554725,9.192714183363854,,,,,,,,5,,,,,,,,3.0,4.0,4.0,4.0,2.0,3-4-4-4-2,17.0
NZL,2019,2019,86.35401056117124,92.06643462469734,28.25954467037914,53.832715868724144,22.840569260034176,,,,,,,,5,,,,,,,,5.0,4.0,3.0,3.0,4.0,5-4-3-3-4,19.0
POL,2019,2019,79.21928817451206,95.37681598062952,24.41487904805224,37.519264700462045,18.712590897678595,,,,,,,,5,,,,,,,,4.0,5.0,2.0,2.0,3.0,4-5-2-2-3,16.0
PRT,2019,2019,38.51894374282434,82.64981840193705,26.544367548649976,24.52017759818624,7.398281928082919,,,,,,,,5,,,,,,,,1.0,2.0,3.0,2.0,1.0,1-2-3-2-1,9.0
ROU,2019,2019,84.95981630309988,92.82309322033898,3.857956731537156,6.134073406177688,23.2781103467362,,,,,,,,5,,,,,,,,4.0,4.0,1.0,1.0,5.0,4-4-1-1-5,15.0
SVK,2019,2019,77.61194029850746,85.85805084745763,12.355061647969832,23.108830516661,11.77511808391389,,,,,,,,5,,,,,,,,3.0,2.0,1.0,2.0,3.0,3-2-1-2-3,11.0
SVN,2019,2019,67.27898966704937,90.83308111380146,42.932603292166014,40.45413332556315,16.66366192322806,,,,,,,,5,,,,,,,,2.0,3.0,4.0,3.0,3.0,2-3-4-3-3,15.0
SWE,2019,2019,84.50057405281287,82.01044188861985,76.31854943926389,65.18051809903986,22.78898045599404,,,,,,,,5,,,,,,,,4.0,2.0,5.0,4.0,4.0,4-2-5-4-4,19.0
TUR,2019,2019,85.95862545518266,55.67493946731234,24.05710619748545,14.235789751453732,10.9739338024312,,,,,,,,5,,,,,,,,5.0,1.0,2.0,1.0,2.0,5-1-2-1-2,11.0
USA,2019,2019,47.19874493174339,93.74243341404356,69.79533248807502,75.29026170293265,32.46930200745625,,,,,,,,5,,,,,,,,1.0,5.0,5.0,5.0,5.0,1-5-5-5-5,21.0
ZAF,2019,2019,68.08881852175062,0.0,7.200551492704578,0.0,36.1103793762552,,,,,,,,5,,,,,,,,3.0,1.0,1.0,1.0,5.0,3-1-1-1-5,11.0
