shock_id,epsilon,baseline_epsilon,frontier_countries,frontier_country_list,baseline_frontier_countries,countries_shared_with_epsilon_0,jaccard_similarity_with_epsilon_0,countries_added_vs_epsilon_0,countries_removed_vs_epsilon_0,reference_role
2007,0.1,0.0,7,"CAN, DNK, EST, FIN, LUX, SWE, USA",12,7,0.5833333333333334,,"CZE, GBR, IRL, LTU, SVN",diagnostic_reference_only_not_main_profile_poset
2019,0.1,0.0,5,"AUS, CAN, EST, KOR, USA",20,5,0.25,,"AUT, BGR, CHE, CZE, DEU, DNK, FIN, HUN, IRL, LUX, NZL, POL, ROU, SVN, SWE",diagnostic_reference_only_not_main_profile_poset
