Country,shock_id,baseline_year,profile_code,profile_digit_sum,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,main_variable_set,levels
AUT,2007,2007,2-4-5-3-2,16.0,2,4,5,3,2,38.530287984111226,80.60463290145269,68.73029725083978,33.275741765017905,22.62007222087811,baseline_5_variables,5
BEL,2007,2007,1-2-4-4-1,12.0,1,2,4,4,1,16.981132075471695,46.577673079439855,48.53596129441771,53.51127611716117,9.613947055901342,baseline_5_variables,5
CAN,2007,2007,3-3-4-5-5,20.0,3,3,4,5,5,64.98653033849067,63.66967674388169,50.39007991533172,100.0,100.0,baseline_5_variables,5
CZE,2007,2007,4-3-3-1-5,16.0,4,3,3,1,5,76.76266137040716,74.61065305588274,29.390389885987307,0.44663183102145,50.55619451737794,baseline_5_variables,5
DEU,2007,2007,2-1-4-2-3,12.0,2,1,4,2,3,40.61569016881827,31.14775552938096,68.23146618176881,30.98497562887163,28.58329615310983,baseline_5_variables,5
DNK,2007,2007,4-5-5-4-5,23.0,4,5,5,4,5,74.57795431976167,100.0,71.3466252831917,50.06824898503602,82.73514245549566,baseline_5_variables,5
ESP,2007,2007,4-1-3-3-1,12.0,4,1,3,3,1,68.42105263157895,36.44810888627143,27.36697161673024,45.36635297439316,12.778389311997874,baseline_5_variables,5
EST,2007,2007,5-5-2-5-5,22.0,5,5,2,5,5,100.0,84.21672555948174,21.15455708470343,56.54896210478465,50.22277382461701,baseline_5_variables,5
FIN,2007,2007,3-2-5-5-3,18.0,3,2,5,5,3,68.12313803376365,54.83575448239758,100.0,65.82852372068734,32.23896352738612,baseline_5_variables,5
FRA,2007,2007,2-2-4-3-3,14.0,2,2,4,3,3,38.82820258192651,39.562884439209526,54.70072352512234,37.76496819897556,33.909460313319514,baseline_5_variables,5
GBR,2007,2007,1-4-3-5-5,18.0,1,4,3,5,5,11.148376159671502,76.66535793744274,40.26269042451276,63.455884233491766,52.607492487646,baseline_5_variables,5
GRC,2007,2007,1-1-1-2-2,7.0,1,1,1,2,2,0.0,34.30179295903676,4.768047182198515,26.919380425850665,16.15119135769017,baseline_5_variables,5
HUN,2007,2007,2-2-2-1-3,10.0,2,2,2,1,3,38.72889771598808,47.25821227588012,17.56243433777991,12.91964427241276,28.464013117361407,baseline_5_variables,5
IRL,2007,2007,4-4-2-4-1,15.0,4,4,2,4,1,80.1390268123138,81.40295772804606,27.223684982515177,54.36450330306708,7.710476097086999,baseline_5_variables,5
ITA,2007,2007,1-3-2-1-2,9.0,1,3,2,1,2,1.0923535253227352,64.67739824630283,23.421604726453666,0.0,13.003623416105148,baseline_5_variables,5
LTU,2007,2007,5-5-1-3-3,17.0,5,5,1,3,3,88.08341608738827,88.56170658290799,12.241503786463827,44.36931062788691,28.2693532576944,baseline_5_variables,5
