shock_id,baseline_year,main_variable_set,variables,levels,countries,unique_profiles,dominance_relations,hasse_edges,layers,note
2007,2007,baseline_5_variables,"debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100",5,25,25,96,52,5,Profile-level POSet. Not a scalar ranking.
2019,2019,baseline_5_variables,"debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100",5,35,34,129,64,4,Profile-level POSet. Not a scalar ranking.
