shock_id,profile_count,profile_levels,variable_count,main_variable_set,mean_observed_dominance_score,mean_observed_incomparability_score,mean_embedded_dominance_score,mean_embedded_incomparability_score,mean_embedded_separation_score,max_embedded_separation_score,pareto_profile_count,note
2007,25,5,5,baseline_5_variables,0.16,0.68,0.11816901408450704,0.750653008962868,0.06659396299902628,0.5250243427458617,8,Fattore-style POSet scores are included as a diagnostic scoring layer. They are not used as a final scalar Economic Resilience Index.
2019,34,5,5,baseline_5_variables,0.11497326203208555,0.7700534759358288,0.09034420426301122,0.7968855916246139,0.03975926034749564,0.24891774891774893,12,Fattore-style POSet scores are included as a diagnostic scoring layer. They are not used as a final scalar Economic Resilience Index.
