shock_id,baseline_year,Country,profile_code,layer,is_pareto_frontier,observed_dominance_score_normalized,observed_dominated_by_score_normalized,observed_incomparability_score_normalized,embedded_dominance_score_normalized,embedded_dominated_by_score_normalized,embedded_incomparability_score_normalized,observed_separation_score_normalized,embedded_separation_score_normalized,score_role,profile_digit_sum,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,main_variable_set,levels
2007,2007,AUT,2-4-5-3-2,2,False,0.125,0.08333333333333333,0.7916666666666666,0.0765044814340589,0.030409731113956465,0.8930857874519846,0.050445103857566766,0.026484907497565727,diagnostic_poset_score_not_index,16.0,2,4,5,3,2,38.530287984111226,80.60463290145269,68.73029725083978,33.275741765017905,22.62007222087811,baseline_5_variables,5
2007,2007,BEL,1-2-4-4-1,3,False,0.041666666666666664,0.25,0.7083333333333334,0.009923175416133162,0.12772087067861715,0.8623559539052497,0.002225519287833828,0.0011684518013631937,diagnostic_poset_score_not_index,12.0,1,2,4,4,1,16.981132075471695,46.577673079439855,48.53596129441771,53.51127611716117,9.613947055901342,baseline_5_variables,5
2007,2007,CAN,3-3-4-5-5,1,True,0.3333333333333333,0.0,0.6666666666666666,0.2877720870678617,0.005441741357234315,0.706786171574904,0.3060089020771513,0.16066212268743915,diagnostic_poset_score_not_index,20.0,3,3,4,5,5,64.98653033849067,63.66967674388169,50.39007991533172,100.0,100.0,baseline_5_variables,5
2007,2007,CZE,4-3-3-1-5,2,False,0.16666666666666666,0.041666666666666664,0.7916666666666666,0.057298335467349554,0.028489116517285532,0.9142125480153649,0.03412462908011869,0.017916260954235638,diagnostic_poset_score_not_index,16.0,4,3,3,1,5,76.76266137040716,74.61065305588274,29.390389885987307,0.44663183102145,50.55619451737794,baseline_5_variables,5
2007,2007,DEU,2-1-4-2-3,4,False,0.041666666666666664,0.2916666666666667,0.6666666666666666,0.015044814340588988,0.1533290653008963,0.8316261203585147,0.002967359050445104,0.001557935735150925,diagnostic_poset_score_not_index,12.0,2,1,4,2,3,40.61569016881827,31.14775552938096,68.23146618176881,30.98497562887163,28.58329615310983,baseline_5_variables,5
2007,2007,DNK,4-5-5-4-5,1,True,0.625,0.0,0.375,0.6398847631241997,0.0009603072983354673,0.3591549295774648,1.0,0.5250243427458617,diagnostic_poset_score_not_index,23.0,4,5,5,4,5,74.57795431976167,100.0,71.3466252831917,50.06824898503602,82.73514245549566,baseline_5_variables,5
2007,2007,ESP,4-1-3-3-1,2,False,0.0,0.08333333333333333,0.9166666666666666,0.01120358514724712,0.1437259923175416,0.8450704225352113,0.0,0.0,diagnostic_poset_score_not_index,12.0,4,1,3,3,1,68.42105263157895,36.44810888627143,27.36697161673024,45.36635297439316,12.778389311997874,baseline_5_variables,5
2007,2007,EST,5-5-2-5-5,1,True,0.375,0.0,0.625,0.3998079385403329,0.0009603072983354673,0.5992317541613317,0.48850148367952523,0.256475170399221,diagnostic_poset_score_not_index,22.0,5,5,2,5,5,100.0,84.21672555948174,21.15455708470343,56.54896210478465,50.22277382461701,baseline_5_variables,5
2007,2007,FIN,3-2-5-5-3,1,True,0.25,0.0,0.75,0.1437259923175416,0.01120358514724712,0.8450704225352113,0.10014836795252226,0.05258033106134372,diagnostic_poset_score_not_index,18.0,3,2,5,5,3,68.12313803376365,54.83575448239758,100.0,65.82852372068734,32.23896352738612,baseline_5_variables,5
2007,2007,FRA,2-2-4-3-3,3,False,0.16666666666666666,0.25,0.5833333333333334,0.045774647887323945,0.09186939820742637,0.8623559539052497,0.024295252225519287,0.012755598831548198,diagnostic_poset_score_not_index,14.0,2,2,4,3,3,38.82820258192651,39.562884439209526,54.70072352512234,37.76496819897556,33.909460313319514,baseline_5_variables,5
2007,2007,GBR,1-4-3-5-5,1,True,0.125,0.0,0.875,0.09571062740076824,0.009282970550576185,0.8950064020486556,0.07826409495548961,0.04109055501460565,diagnostic_poset_score_not_index,18.0,1,4,3,5,5,11.148376159671502,76.66535793744274,40.26269042451276,63.455884233491766,52.607492487646,baseline_5_variables,5
2007,2007,GRC,1-1-1-2-2,5,False,0.0,0.625,0.375,0.0009603072983354673,0.6398847631241997,0.3591549295774648,0.0,0.0,diagnostic_poset_score_not_index,7.0,1,1,1,2,2,0.0,34.30179295903676,4.768047182198515,26.919380425850665,16.15119135769017,baseline_5_variables,5
