Country,Year,Value,Series_Code
BEL,2019,87.7946961242099,BEL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BEL,2020,91.0410133985688,BEL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BEL,2021,89.4485591612436,BEL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BEL,2022,89.2520576983279,BEL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BEL,2023,89.4361262679845,BEL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BEL,2024,90.0581462047296,BEL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2002,20.3301917077021,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2003,20.9168690970563,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2004,21.4130283282116,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2005,22.3894002483872,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2006,23.2028536997674,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2007,23.9790908206293,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2008,24.2888223821686,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2009,24.5715883610913,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2010,25.9834371942373,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2011,27.1442633223429,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2012,28.034236418333,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2013,27.9940364934973,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2014,28.1717325540205,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2015,29.0214524696042,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2016,29.7669289554127,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2017,30.051611745007,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2018,30.8257484978244,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2019,32.4384046426946,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2020,32.7213797507618,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2021,34.9914940531146,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2022,36.0619840757478,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
BGR,2023,35.4677949729954,BGR.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
